,date,station_no,discharge,water_level,year,month,delta1,delta2,delta3
595680,1965-01-01,6335640,0.71,18.0,1965,1,,,
595681,1965-01-02,6335640,1.37,25.0,1965,1,-7.0,,
595682,1965-01-03,6335640,1.04,22.0,1965,1,3.0,-4.0,
595683,1965-01-04,6335640,1.04,22.0,1965,1,0.0,3.0,-4.0
595684,1965-01-05,6335640,0.86,20.0,1965,1,2.0,2.0,5.0
595685,1965-01-06,6335640,0.79,19.0,1965,1,1.0,3.0,3.0
595686,1965-01-07,6335640,0.79,19.0,1965,1,0.0,1.0,3.0
595687,1965-01-08,6335640,1.15,23.0,1965,1,-4.0,-4.0,-3.0
595688,1965-01-09,6335640,1.88,29.0,1965,1,-6.0,-10.0,-10.0
595689,1965-01-10,6335640,3.22,38.0,1965,1,-9.0,-15.0,-19.0
595690,1965-01-11,6335640,2.6,34.0,1965,1,4.0,-5.0,-11.0
595691,1965-01-12,6335640,2.01,30.0,1965,1,4.0,8.0,-1.0
595692,1965-01-13,6335640,1.75,28.0,1965,1,2.0,6.0,10.0
595693,1965-01-14,6335640,1.75,28.0,1965,1,0.0,2.0,6.0
595694,1965-01-15,6335640,1.62,27.0,1965,1,1.0,1.0,3.0
595695,1965-01-16,6335640,1.62,27.0,1965,1,0.0,1.0,1.0
595696,1965-01-17,6335640,2.15,31.0,1965,1,-4.0,-4.0,-3.0
595697,1965-01-18,6335640,3.69,41.0,1965,1,-10.0,-14.0,-14.0
595698,1965-01-19,6335640,2.6,34.0,1965,1,7.0,-3.0,-7.0
595699,1965-01-20,6335640,1.75,28.0,1965,1,6.0,13.0,3.0
595700,1965-01-21,6335640,1.49,26.0,1965,1,2.0,8.0,15.0
595701,1965-01-22,6335640,1.25,24.0,1965,1,2.0,4.0,10.0
595702,1965-01-23,6335640,1.37,25.0,1965,1,-1.0,1.0,3.0
595703,1965-01-24,6335640,1.25,24.0,1965,1,1.0,0.0,2.0
595704,1965-01-25,6335640,1.15,23.0,1965,1,1.0,2.0,1.0
595705,1965-01-26,6335640,1.25,24.0,1965,1,-1.0,0.0,1.0
595706,1965-01-27,6335640,1.25,24.0,1965,1,0.0,-1.0,0.0
595707,1965-01-28,6335640,1.37,25.0,1965,1,-1.0,-1.0,-2.0
595708,1965-01-29,6335640,1.49,26.0,1965,1,-1.0,-2.0,-2.0
595709,1965-01-30,6335640,2.15,31.0,1965,1,-5.0,-6.0,-7.0
595710,1965-01-31,6335640,4.5,46.0,1965,1,-15.0,-20.0,-21.0
595711,1965-02-01,6335640,4.68,47.0,1965,2,-1.0,-16.0,-21.0
595712,1965-02-02,6335640,3.54,40.0,1965,2,7.0,6.0,-9.0
595713,1965-02-03,6335640,3.06,37.0,1965,2,3.0,10.0,9.0
595714,1965-02-04,6335640,2.6,34.0,1965,2,3.0,6.0,13.0
595715,1965-02-05,6335640,2.53,34.0,1965,2,0.0,3.0,6.0
595716,1965-02-06,6335640,2.24,33.0,1965,2,1.0,1.0,4.0
595717,1965-02-07,6335640,1.81,31.0,1965,2,2.0,3.0,3.0
595718,1965-02-08,6335640,1.44,29.0,1965,2,2.0,4.0,5.0
595719,1965-02-09,6335640,1.21,28.0,1965,2,1.0,3.0,5.0
595720,1965-02-10,6335640,1.05,27.0,1965,2,1.0,2.0,4.0
595721,1965-02-11,6335640,1.05,27.0,1965,2,0.0,1.0,2.0
595722,1965-02-12,6335640,0.96,26.0,1965,2,1.0,1.0,2.0
595723,1965-02-13,6335640,1.15,28.0,1965,2,-2.0,-1.0,-1.0
595724,1965-02-14,6335640,1.47,31.0,1965,2,-3.0,-5.0,-4.0
595725,1965-02-15,6335640,1.35,30.0,1965,2,1.0,-2.0,-4.0
595726,1965-02-16,6335640,1.25,29.0,1965,2,1.0,2.0,-1.0
595727,1965-02-17,6335640,1.15,28.0,1965,2,1.0,2.0,3.0
595728,1965-02-18,6335640,1.15,28.0,1965,2,0.0,1.0,2.0
595729,1965-02-19,6335640,1.05,27.0,1965,2,1.0,1.0,2.0
595730,1965-02-20,6335640,1.05,27.0,1965,2,0.0,1.0,1.0
595731,1965-02-21,6335640,0.96,26.0,1965,2,1.0,1.0,2.0
595732,1965-02-22,6335640,0.96,26.0,1965,2,0.0,1.0,1.0
595733,1965-02-23,6335640,0.88,25.0,1965,2,1.0,1.0,2.0
595734,1965-02-24,6335640,0.88,25.0,1965,2,0.0,1.0,1.0
595735,1965-02-25,6335640,0.88,25.0,1965,2,0.0,0.0,1.0
595736,1965-02-26,6335640,0.88,25.0,1965,2,0.0,0.0,0.0
595737,1965-02-27,6335640,0.88,25.0,1965,2,0.0,0.0,0.0
595738,1965-02-28,6335640,0.88,25.0,1965,2,0.0,0.0,0.0
595739,1965-03-01,6335640,1.05,27.0,1965,3,-2.0,-2.0,-2.0
595740,1965-03-02,6335640,0.96,26.0,1965,3,1.0,-1.0,-1.0
595741,1965-03-03,6335640,0.96,26.0,1965,3,0.0,1.0,-1.0
595742,1965-03-04,6335640,0.88,25.0,1965,3,1.0,1.0,2.0
595743,1965-03-05,6335640,0.79,24.0,1965,3,1.0,2.0,2.0
595744,1965-03-06,6335640,0.79,24.0,1965,3,0.0,1.0,2.0
595745,1965-03-07,6335640,0.72,23.0,1965,3,1.0,1.0,2.0
595746,1965-03-08,6335640,0.65,22.0,1965,3,1.0,2.0,2.0
595747,1965-03-09,6335640,0.58,21.0,1965,3,1.0,2.0,3.0
595748,1965-03-10,6335640,0.72,23.0,1965,3,-2.0,-1.0,0.0
595749,1965-03-11,6335640,0.79,24.0,1965,3,-1.0,-3.0,-2.0
595750,1965-03-12,6335640,0.88,25.0,1965,3,-1.0,-2.0,-4.0
595751,1965-03-13,6335640,0.88,25.0,1965,3,0.0,-1.0,-2.0
595752,1965-03-14,6335640,1.15,28.0,1965,3,-3.0,-3.0,-4.0
595753,1965-03-15,6335640,3.21,43.0,1965,3,-15.0,-18.0,-18.0
595754,1965-03-16,6335640,3.21,43.0,1965,3,0.0,-15.0,-18.0
595755,1965-03-17,6335640,2.58,39.0,1965,3,4.0,4.0,-11.0
595756,1965-03-18,6335640,2.13,36.0,1965,3,3.0,7.0,7.0
595757,1965-03-19,6335640,1.85,34.0,1965,3,2.0,5.0,9.0
595758,1965-03-20,6335640,1.72,33.0,1965,3,1.0,3.0,6.0
595759,1965-03-21,6335640,3.85,47.0,1965,3,-14.0,-13.0,-11.0
595760,1965-03-22,6335640,3.05,42.0,1965,3,5.0,-9.0,-8.0
595761,1965-03-23,6335640,2.9,41.0,1965,3,1.0,6.0,-8.0
595762,1965-03-24,6335640,2.74,40.0,1965,3,1.0,2.0,7.0
595763,1965-03-25,6335640,3.37,44.0,1965,3,-4.0,-3.0,-2.0
595764,1965-03-26,6335640,6.18,60.0,1965,3,-16.0,-20.0,-19.0
595765,1965-03-27,6335640,4.17,49.0,1965,3,11.0,-5.0,-9.0
595766,1965-03-28,6335640,3.21,43.0,1965,3,6.0,17.0,1.0
595767,1965-03-29,6335640,2.58,39.0,1965,3,4.0,10.0,21.0
595768,1965-03-30,6335640,2.28,37.0,1965,3,2.0,6.0,12.0
595769,1965-03-31,6335640,1.99,35.0,1965,3,2.0,4.0,8.0
595770,1965-04-01,6335640,1.85,34.0,1965,4,1.0,3.0,5.0
595771,1965-04-02,6335640,1.59,32.0,1965,4,2.0,3.0,5.0
595772,1965-04-03,6335640,1.59,32.0,1965,4,0.0,2.0,3.0
595773,1965-04-04,6335640,1.59,32.0,1965,4,0.0,0.0,2.0
595774,1965-04-05,6335640,1.59,32.0,1965,4,0.0,0.0,0.0
595775,1965-04-06,6335640,1.59,32.0,1965,4,0.0,0.0,0.0
595776,1965-04-07,6335640,1.85,34.0,1965,4,-2.0,-2.0,-2.0
595777,1965-04-08,6335640,1.72,33.0,1965,4,1.0,-1.0,-1.0
595778,1965-04-09,6335640,1.47,31.0,1965,4,2.0,3.0,1.0
595779,1965-04-10,6335640,1.47,31.0,1965,4,0.0,2.0,3.0
595780,1965-04-11,6335640,1.59,32.0,1965,4,-1.0,-1.0,1.0
595781,1965-04-12,6335640,1.47,31.0,1965,4,1.0,0.0,0.0
595782,1965-04-13,6335640,1.59,32.0,1965,4,-1.0,0.0,-1.0
595783,1965-04-14,6335640,1.59,32.0,1965,4,0.0,-1.0,0.0
595784,1965-04-15,6335640,1.47,31.0,1965,4,1.0,1.0,0.0
595785,1965-04-16,6335640,2.58,39.0,1965,4,-8.0,-7.0,-7.0
595786,1965-05-03,6335640,3.21,43.0,1965,5,-4.0,-12.0,-11.0
595787,1965-05-04,6335640,3.53,45.0,1965,5,-2.0,-6.0,-14.0
595788,1965-05-05,6335640,5.78,58.0,1965,5,-13.0,-15.0,-19.0
595789,1965-05-06,6335640,6.6,62.0,1965,5,-4.0,-17.0,-19.0
595790,1965-05-07,6335640,4.84,53.0,1965,5,9.0,5.0,-8.0
595791,1965-05-08,6335640,5.2,55.0,1965,5,-2.0,7.0,3.0
595792,1965-05-09,6335640,4.3,50.0,1965,5,5.0,3.0,12.0
595793,1965-05-10,6335640,3.75,47.0,1965,5,3.0,8.0,6.0
595794,1965-05-11,6335640,3.21,44.0,1965,5,3.0,6.0,11.0
595795,1965-05-12,6335640,3.3,45.0,1965,5,-1.0,2.0,5.0
595796,1965-05-13,6335640,2.47,40.0,1965,5,5.0,4.0,7.0
595797,1965-05-14,6335640,2.41,40.0,1965,5,0.0,5.0,4.0
595798,1965-05-15,6335640,2.21,39.0,1965,5,1.0,1.0,6.0
595799,1965-05-16,6335640,2.18,39.0,1965,5,0.0,1.0,1.0
595800,1965-05-17,6335640,2.33,40.0,1965,5,-1.0,-1.0,0.0
595801,1965-05-18,6335640,2.47,41.0,1965,5,-1.0,-2.0,-2.0
595802,1965-05-19,6335640,4.74,55.0,1965,5,-14.0,-15.0,-16.0
595803,1965-05-20,6335640,3.38,47.0,1965,5,8.0,-6.0,-7.0
595804,1965-05-21,6335640,2.92,44.0,1965,5,3.0,11.0,-3.0
595805,1965-05-22,6335640,2.62,42.0,1965,5,2.0,5.0,13.0
595806,1965-05-23,6335640,2.62,42.0,1965,5,0.0,2.0,5.0
595807,1965-05-24,6335640,2.47,41.0,1965,5,1.0,1.0,3.0
595808,1965-05-25,6335640,2.47,41.0,1965,5,0.0,1.0,1.0
595809,1965-05-26,6335640,2.47,41.0,1965,5,0.0,0.0,1.0
595810,1965-05-27,6335640,2.47,41.0,1965,5,0.0,0.0,0.0
595811,1965-05-28,6335640,3.85,50.0,1965,5,-9.0,-9.0,-9.0
595812,1965-05-29,6335640,3.22,46.0,1965,5,4.0,-5.0,-5.0
595813,1965-05-30,6335640,2.92,44.0,1965,5,2.0,6.0,-3.0
595814,1965-05-31,6335640,2.77,43.0,1965,5,1.0,3.0,7.0
595815,1965-06-01,6335640,3.85,50.0,1965,6,-7.0,-6.0,-4.0
595816,1965-06-02,6335640,2.92,44.0,1965,6,6.0,-1.0,0.0
595817,1965-06-03,6335640,2.77,43.0,1965,6,1.0,7.0,0.0
595818,1965-06-04,6335640,2.77,43.0,1965,6,0.0,1.0,7.0
595819,1965-06-05,6335640,2.62,42.0,1965,6,1.0,1.0,2.0
595820,1965-06-06,6335640,2.62,42.0,1965,6,0.0,1.0,1.0
595821,1965-06-07,6335640,2.92,44.0,1965,6,-2.0,-2.0,-1.0
595822,1965-06-08,6335640,3.22,46.0,1965,6,-2.0,-4.0,-4.0
595823,1965-06-09,6335640,5.31,58.0,1965,6,-12.0,-14.0,-16.0
595824,1965-06-10,6335640,10.0,79.0,1965,6,-21.0,-33.0,-35.0
595825,1965-06-11,6335640,5.11,57.0,1965,6,22.0,1.0,-11.0
595826,1965-06-12,6335640,3.85,50.0,1965,6,7.0,29.0,8.0
595827,1965-06-13,6335640,3.54,48.0,1965,6,2.0,9.0,31.0
595828,1965-06-14,6335640,3.38,47.0,1965,6,1.0,3.0,10.0
595829,1965-06-15,6335640,2.92,44.0,1965,6,3.0,4.0,6.0
595830,1965-06-16,6335640,2.62,42.0,1965,6,2.0,5.0,6.0
595831,1965-06-17,6335640,4.55,54.0,1965,6,-12.0,-10.0,-7.0
595832,1965-06-18,6335640,3.54,48.0,1965,6,6.0,-6.0,-4.0
595833,1965-06-19,6335640,2.77,43.0,1965,6,5.0,11.0,-1.0
595834,1965-06-20,6335640,2.33,40.0,1965,6,3.0,8.0,14.0
595835,1965-06-21,6335640,3.22,46.0,1965,6,-6.0,-3.0,2.0
595836,1965-06-22,6335640,5.7,60.0,1965,6,-14.0,-20.0,-17.0
595837,1965-06-23,6335640,3.85,50.0,1965,6,10.0,-4.0,-10.0
595838,1965-06-24,6335640,3.08,45.0,1965,6,5.0,15.0,1.0
595839,1965-06-25,6335640,2.47,41.0,1965,6,4.0,9.0,19.0
595840,1965-06-26,6335640,2.18,39.0,1965,6,2.0,6.0,11.0
595841,1965-06-27,6335640,2.03,38.0,1965,6,1.0,3.0,7.0
595842,1965-06-28,6335640,1.77,36.0,1965,6,2.0,3.0,5.0
595843,1965-06-29,6335640,1.77,36.0,1965,6,0.0,2.0,3.0
595844,1965-06-30,6335640,1.65,35.0,1965,6,1.0,1.0,3.0
595845,1965-07-01,6335640,1.9,37.0,1965,7,-2.0,-1.0,-1.0
595846,1965-07-02,6335640,1.77,36.0,1965,7,1.0,-1.0,0.0
595847,1965-07-03,6335640,1.65,35.0,1965,7,1.0,2.0,0.0
595848,1965-07-04,6335640,1.65,35.0,1965,7,0.0,1.0,2.0
595849,1965-07-05,6335640,1.65,35.0,1965,7,0.0,0.0,1.0
595850,1965-07-06,6335640,1.65,35.0,1965,7,0.0,0.0,0.0
595851,1965-07-07,6335640,1.65,35.0,1965,7,0.0,0.0,0.0
595852,1965-07-08,6335640,2.18,39.0,1965,7,-4.0,-4.0,-4.0
595853,1965-07-09,6335640,2.03,38.0,1965,7,1.0,-3.0,-3.0
595854,1965-07-10,6335640,1.9,37.0,1965,7,1.0,2.0,-2.0
595855,1965-07-11,6335640,1.65,35.0,1965,7,2.0,3.0,4.0
595856,1965-07-12,6335640,1.65,35.0,1965,7,0.0,2.0,3.0
595857,1965-07-13,6335640,1.77,36.0,1965,7,-1.0,-1.0,1.0
595858,1965-07-14,6335640,1.77,36.0,1965,7,0.0,-1.0,-1.0
595859,1965-07-15,6335640,1.9,37.0,1965,7,-1.0,-1.0,-2.0
