,date,station_no,discharge,water_level,year,month,delta1,delta2,delta3
789276,1965-01-01,6935145,39.3,,1965,1,,,
789277,1965-01-02,6935145,40.3,,1965,1,,,
789278,1965-01-03,6935145,33.4,,1965,1,,,
789279,1965-01-04,6935145,62.8,,1965,1,,,
789280,1965-01-05,6935145,67.8,,1965,1,,,
789281,1965-01-06,6935145,58.9,,1965,1,,,
789282,1965-01-07,6935145,73.0,,1965,1,,,
789283,1965-01-08,6935145,69.6,,1965,1,,,
789284,1965-01-09,6935145,52.3,,1965,1,,,
789285,1965-01-10,6935145,33.0,,1965,1,,,
789286,1965-01-11,6935145,60.8,,1965,1,,,
789287,1965-01-12,6935145,67.9,,1965,1,,,
789288,1965-01-13,6935145,66.2,,1965,1,,,
789289,1965-01-14,6935145,60.3,,1965,1,,,
789290,1965-01-15,6935145,59.7,,1965,1,,,
789291,1965-01-16,6935145,46.9,,1965,1,,,
789292,1965-01-17,6935145,33.4,,1965,1,,,
789293,1965-01-18,6935145,59.3,,1965,1,,,
789294,1965-01-19,6935145,64.5,,1965,1,,,
789295,1965-01-20,6935145,64.0,,1965,1,,,
789296,1965-01-21,6935145,63.7,,1965,1,,,
789297,1965-01-22,6935145,68.5,,1965,1,,,
789298,1965-01-23,6935145,52.7,,1965,1,,,
789299,1965-01-24,6935145,30.9,,1965,1,,,
789300,1965-01-25,6935145,63.2,,1965,1,,,
789301,1965-01-26,6935145,61.9,,1965,1,,,
789302,1965-01-27,6935145,63.9,,1965,1,,,
789303,1965-01-28,6935145,64.1,,1965,1,,,
789304,1965-01-29,6935145,64.8,,1965,1,,,
789305,1965-01-30,6935145,55.1,,1965,1,,,
789306,1965-01-31,6935145,32.1,,1965,1,,,
789307,1965-02-01,6935145,64.2,,1965,2,,,
789308,1965-02-02,6935145,62.3,,1965,2,,,
789309,1965-02-03,6935145,63.5,,1965,2,,,
789310,1965-02-04,6935145,65.5,,1965,2,,,
789311,1965-02-05,6935145,65.7,,1965,2,,,
789312,1965-02-06,6935145,56.5,,1965,2,,,
789313,1965-02-07,6935145,41.8,,1965,2,,,
789314,1965-02-08,6935145,64.2,,1965,2,,,
789315,1965-02-09,6935145,66.3,,1965,2,,,
789316,1965-02-10,6935145,67.0,,1965,2,,,
789317,1965-02-11,6935145,68.0,,1965,2,,,
