,date,station_no,discharge,water_level,year,month,delta1,delta2,delta3
848844,1965-01-01,6935400,16.5,,1965,1,,,
848845,1965-01-02,6935400,40.0,,1965,1,,,
848846,1965-01-03,6935400,48.0,,1965,1,,,
848847,1965-01-04,6935400,34.1,,1965,1,,,
848848,1965-01-05,6935400,28.5,,1965,1,,,
848849,1965-01-06,6935400,23.0,,1965,1,,,
848850,1965-01-07,6935400,23.5,,1965,1,,,
848851,1965-01-08,6935400,22.6,,1965,1,,,
848852,1965-01-09,6935400,38.6,,1965,1,,,
848853,1965-01-10,6935400,59.6,,1965,1,,,
848854,1965-01-11,6935400,51.1,,1965,1,,,
848855,1965-01-12,6935400,40.0,,1965,1,,,
848856,1965-01-13,6935400,34.1,,1965,1,,,
848857,1965-01-14,6935400,30.7,,1965,1,,,
848858,1965-01-15,6935400,29.1,,1965,1,,,
848859,1965-01-16,6935400,25.5,,1965,1,,,
848860,1965-01-17,6935400,28.5,,1965,1,,,
848861,1965-01-18,6935400,106.0,,1965,1,,,
848862,1965-01-19,6935400,66.4,,1965,1,,,
848863,1965-01-20,6935400,45.0,,1965,1,,,
848864,1965-01-21,6935400,36.4,,1965,1,,,
848865,1965-01-22,6935400,30.8,,1965,1,,,
848866,1965-01-23,6935400,28.6,,1965,1,,,
848867,1965-01-24,6935400,27.5,,1965,1,,,
848868,1965-01-25,6935400,25.3,,1965,1,,,
848869,1965-01-26,6935400,25.3,,1965,1,,,
848870,1965-01-27,6935400,23.9,,1965,1,,,
848871,1965-01-28,6935400,22.9,,1965,1,,,
848872,1965-01-29,6935400,21.0,,1965,1,,,
848873,1965-01-30,6935400,20.6,,1965,1,,,
848874,1965-01-31,6935400,29.2,,1965,1,,,
848875,1965-02-01,6935400,86.1,,1965,2,,,
848876,1965-02-02,6935400,81.1,,1965,2,,,
848877,1965-02-03,6935400,49.3,,1965,2,,,
848878,1965-02-04,6935400,38.9,,1965,2,,,
848879,1965-02-05,6935400,30.8,,1965,2,,,
848880,1965-02-06,6935400,27.5,,1965,2,,,
848881,1965-02-07,6935400,25.3,,1965,2,,,
848882,1965-02-08,6935400,23.4,,1965,2,,,
848883,1965-02-09,6935400,21.5,,1965,2,,,
848884,1965-02-10,6935400,19.7,,1965,2,,,
848885,1965-02-11,6935400,18.5,,1965,2,,,
848886,1965-02-12,6935400,18.5,,1965,2,,,
848887,1965-02-13,6935400,17.6,,1965,2,,,
848888,1965-02-14,6935400,18.1,,1965,2,,,
848889,1965-02-15,6935400,16.2,,1965,2,,,
848890,1965-02-16,6935400,17.2,,1965,2,,,
848891,1965-02-17,6935400,16.2,,1965,2,,,
848892,1965-02-18,6935400,15.2,,1965,2,,,
848893,1965-02-19,6935400,15.2,,1965,2,,,
848894,1965-02-20,6935400,15.8,,1965,2,,,
848895,1965-02-21,6935400,14.6,,1965,2,,,
848896,1965-02-22,6935400,13.3,,1965,2,,,
848897,1965-02-23,6935400,14.2,,1965,2,,,
848898,1965-02-24,6935400,15.2,,1965,2,,,
848899,1965-02-25,6935400,13.9,,1965,2,,,
848900,1965-02-26,6935400,14.6,,1965,2,,,
848901,1965-02-27,6935400,14.2,,1965,2,,,
848902,1965-02-28,6935400,14.2,,1965,2,,,
848903,1965-03-01,6935400,14.2,,1965,3,,,
848904,1965-03-02,6935400,15.8,,1965,3,,,
848905,1965-03-03,6935400,14.6,,1965,3,,,
848906,1965-03-04,6935400,13.1,,1965,3,,,
848907,1965-03-05,6935400,13.3,,1965,3,,,
848908,1965-03-06,6935400,14.2,,1965,3,,,
848909,1965-03-07,6935400,13.6,,1965,3,,,
848910,1965-03-08,6935400,12.8,,1965,3,,,
848911,1965-03-09,6935400,14.2,,1965,3,,,
848912,1965-03-10,6935400,14.2,,1965,3,,,
848913,1965-03-11,6935400,13.9,,1965,3,,,
848914,1965-03-12,6935400,15.5,,1965,3,,,
848915,1965-03-13,6935400,18.1,,1965,3,,,
848916,1965-03-14,6935400,22.4,,1965,3,,,
848917,1965-03-15,6935400,42.3,,1965,3,,,
848918,1965-03-16,6935400,90.1,,1965,3,,,
848919,1965-03-17,6935400,113.0,,1965,3,,,
848920,1965-03-18,6935400,104.0,,1965,3,,,
848921,1965-03-19,6935400,103.0,,1965,3,,,
848922,1965-03-20,6935400,85.6,,1965,3,,,
848923,1965-03-21,6935400,111.0,,1965,3,,,
848924,1965-03-22,6935400,285.0,,1965,3,,,
848925,1965-03-23,6935400,185.0,,1965,3,,,
848926,1965-03-24,6935400,146.0,,1965,3,,,
848927,1965-03-25,6935400,198.0,,1965,3,,,
848928,1965-03-26,6935400,136.0,,1965,3,,,
848929,1965-03-27,6935400,146.0,,1965,3,,,
848930,1965-03-28,6935400,161.0,,1965,3,,,
848931,1965-03-29,6935400,142.0,,1965,3,,,
848932,1965-03-30,6935400,111.0,,1965,3,,,
848933,1965-03-31,6935400,96.8,,1965,3,,,
848934,1965-04-01,6935400,81.8,,1965,4,,,
848935,1965-04-02,6935400,67.9,,1965,4,,,
848936,1965-04-03,6935400,61.4,,1965,4,,,
848937,1965-04-04,6935400,51.4,,1965,4,,,
848938,1965-04-05,6935400,57.8,,1965,4,,,
848939,1965-04-06,6935400,53.6,,1965,4,,,
848940,1965-04-07,6935400,50.0,,1965,4,,,
848941,1965-04-08,6935400,52.8,,1965,4,,,
848942,1965-04-09,6935400,45.7,,1965,4,,,
848943,1965-04-10,6935400,47.1,,1965,4,,,
848944,1965-04-11,6935400,38.3,,1965,4,,,
848945,1965-04-12,6935400,55.7,,1965,4,,,
848946,1965-04-13,6935400,43.0,,1965,4,,,
848947,1965-04-14,6935400,38.9,,1965,4,,,
848948,1965-04-15,6935400,34.5,,1965,4,,,
848949,1965-04-16,6935400,88.9,,1965,4,,,
848950,1965-05-03,6935400,110.0,,1965,5,,,
848951,1965-05-04,6935400,98.4,,1965,5,,,
848952,1965-05-05,6935400,171.0,,1965,5,,,
848953,1965-05-06,6935400,174.0,,1965,5,,,
848954,1965-05-07,6935400,136.0,,1965,5,,,
