,date,station_no,discharge,water_level,year,month,delta1,delta2,delta3
387192,1965-01-01,6335310,8.9,,1965,1,,,
387193,1965-01-02,6335310,17.8,,1965,1,,,
387194,1965-01-03,6335310,12.0,,1965,1,,,
387195,1965-01-04,6335310,9.29,,1965,1,,,
387196,1965-01-05,6335310,7.21,,1965,1,,,
387197,1965-01-06,6335310,6.09,,1965,1,,,
387198,1965-01-07,6335310,6.51,,1965,1,,,
387199,1965-01-08,6335310,9.67,,1965,1,,,
387200,1965-01-09,6335310,24.5,,1965,1,,,
387201,1965-01-10,6335310,35.5,,1965,1,,,
387202,1965-01-11,6335310,53.8,,1965,1,,,
387203,1965-01-12,6335310,61.3,,1965,1,,,
387204,1965-01-13,6335310,46.4,,1965,1,,,
387205,1965-01-14,6335310,29.9,,1965,1,,,
387206,1965-01-15,6335310,23.1,,1965,1,,,
387207,1965-01-16,6335310,20.4,,1965,1,,,
387208,1965-01-17,6335310,22.6,,1965,1,,,
387209,1965-01-18,6335310,33.8,,1965,1,,,
387210,1965-01-19,6335310,56.4,,1965,1,,,
387211,1965-01-20,6335310,52.5,,1965,1,,,
387212,1965-01-21,6335310,31.5,,1965,1,,,
387213,1965-01-22,6335310,20.7,,1965,1,,,
387214,1965-01-23,6335310,18.0,,1965,1,,,
387215,1965-01-24,6335310,16.0,,1965,1,,,
387216,1965-01-25,6335310,15.3,,1965,1,,,
387217,1965-01-26,6335310,18.0,,1965,1,,,
387218,1965-01-27,6335310,19.2,,1965,1,,,
387219,1965-01-28,6335310,16.4,,1965,1,,,
387220,1965-01-29,6335310,13.9,,1965,1,,,
387221,1965-01-30,6335310,14.5,,1965,1,,,
387222,1965-01-31,6335310,25.9,,1965,1,,,
387223,1965-02-01,6335310,28.3,,1965,2,,,
387224,1965-02-02,6335310,20.4,,1965,2,,,
387225,1965-02-03,6335310,16.3,,1965,2,,,
387226,1965-02-04,6335310,14.1,,1965,2,,,
387227,1965-02-05,6335310,12.5,,1965,2,,,
387228,1965-02-06,6335310,13.0,,1965,2,,,
387229,1965-02-07,6335310,11.6,,1965,2,,,
387230,1965-02-08,6335310,10.6,,1965,2,,,
387231,1965-02-09,6335310,10.3,,1965,2,,,
387232,1965-02-10,6335310,8.13,,1965,2,,,
387233,1965-02-11,6335310,7.96,,1965,2,,,
387234,1965-02-12,6335310,9.19,,1965,2,,,
387235,1965-02-13,6335310,9.79,,1965,2,,,
387236,1965-02-14,6335310,13.6,,1965,2,,,
387237,1965-02-15,6335310,13.8,,1965,2,,,
387238,1965-02-16,6335310,12.1,,1965,2,,,
387239,1965-02-17,6335310,10.8,,1965,2,,,
387240,1965-02-18,6335310,9.47,,1965,2,,,
387241,1965-02-19,6335310,8.56,,1965,2,,,
387242,1965-02-20,6335310,8.22,,1965,2,,,
387243,1965-02-21,6335310,7.53,,1965,2,,,
387244,1965-02-22,6335310,6.86,,1965,2,,,
387245,1965-02-23,6335310,6.86,,1965,2,,,
387246,1965-02-24,6335310,6.43,,1965,2,,,
387247,1965-02-25,6335310,6.2,,1965,2,,,
387248,1965-02-26,6335310,6.2,,1965,2,,,
387249,1965-02-27,6335310,6.2,,1965,2,,,
387250,1965-02-28,6335310,5.92,,1965,2,,,
387251,1965-03-01,6335310,5.92,,1965,3,,,
387252,1965-03-02,6335310,6.35,,1965,3,,,
387253,1965-03-03,6335310,6.06,,1965,3,,,
387254,1965-03-04,6335310,6.06,,1965,3,,,
387255,1965-03-05,6335310,5.77,,1965,3,,,
387256,1965-03-06,6335310,5.63,,1965,3,,,
387257,1965-03-07,6335310,5.25,,1965,3,,,
387258,1965-03-08,6335310,5.25,,1965,3,,,
387259,1965-03-09,6335310,5.12,,1965,3,,,
387260,1965-03-10,6335310,5.37,,1965,3,,,
387261,1965-03-11,6335310,5.12,,1965,3,,,
387262,1965-03-12,6335310,5.37,,1965,3,,,
387263,1965-03-13,6335310,5.37,,1965,3,,,
387264,1965-03-14,6335310,5.43,,1965,3,,,
387265,1965-03-15,6335310,7.15,,1965,3,,,
387266,1965-03-16,6335310,13.9,,1965,3,,,
387267,1965-03-17,6335310,28.9,,1965,3,,,
387268,1965-03-18,6335310,34.9,,1965,3,,,
387269,1965-03-19,6335310,34.2,,1965,3,,,
387270,1965-03-20,6335310,34.6,,1965,3,,,
387271,1965-03-21,6335310,30.8,,1965,3,,,
387272,1965-03-22,6335310,32.8,,1965,3,,,
