,date,station_no,discharge,water_level,year,month,delta1,delta2,delta3
342516,1965-01-01,6335301,44.0,,1965,1,,,
342517,1965-01-02,6335301,56.8,,1965,1,,,
342518,1965-01-03,6335301,55.7,,1965,1,,,
342519,1965-01-04,6335301,49.3,,1965,1,,,
342520,1965-01-05,6335301,52.3,,1965,1,,,
342521,1965-01-06,6335301,50.6,,1965,1,,,
342522,1965-01-07,6335301,47.2,,1965,1,,,
342523,1965-01-08,6335301,52.2,,1965,1,,,
342524,1965-01-09,6335301,75.0,,1965,1,,,
342525,1965-01-10,6335301,153.0,,1965,1,,,
342526,1965-01-11,6335301,197.0,,1965,1,,,
342527,1965-01-12,6335301,190.0,,1965,1,,,
342528,1965-01-13,6335301,157.0,,1965,1,,,
342529,1965-01-14,6335301,131.0,,1965,1,,,
342530,1965-01-15,6335301,114.0,,1965,1,,,
342531,1965-01-16,6335301,101.0,,1965,1,,,
342532,1965-01-17,6335301,98.8,,1965,1,,,
342533,1965-01-18,6335301,148.0,,1965,1,,,
342534,1965-01-19,6335301,221.0,,1965,1,,,
342535,1965-01-20,6335301,197.0,,1965,1,,,
342536,1965-01-21,6335301,157.0,,1965,1,,,
342537,1965-01-22,6335301,128.0,,1965,1,,,
342538,1965-01-23,6335301,112.0,,1965,1,,,
342539,1965-01-24,6335301,98.3,,1965,1,,,
342540,1965-01-25,6335301,91.6,,1965,1,,,
342541,1965-01-26,6335301,94.9,,1965,1,,,
342542,1965-01-27,6335301,95.8,,1965,1,,,
342543,1965-01-28,6335301,87.1,,1965,1,,,
342544,1965-01-29,6335301,79.0,,1965,1,,,
342545,1965-01-30,6335301,81.4,,1965,1,,,
342546,1965-01-31,6335301,128.0,,1965,1,,,
342547,1965-02-01,6335301,202.0,,1965,2,,,
342548,1965-02-02,6335301,222.0,,1965,2,,,
342549,1965-02-03,6335301,190.0,,1965,2,,,
342550,1965-02-04,6335301,155.0,,1965,2,,,
342551,1965-02-05,6335301,130.0,,1965,2,,,
342552,1965-02-06,6335301,118.0,,1965,2,,,
342553,1965-02-07,6335301,111.0,,1965,2,,,
342554,1965-02-08,6335301,105.0,,1965,2,,,
342555,1965-02-09,6335301,110.0,,1965,2,,,
342556,1965-02-10,6335301,92.4,,1965,2,,,
342557,1965-02-11,6335301,81.6,,1965,2,,,
342558,1965-02-12,6335301,90.4,,1965,2,,,
342559,1965-02-13,6335301,84.0,,1965,2,,,
342560,1965-02-14,6335301,99.8,,1965,2,,,
342561,1965-02-15,6335301,108.0,,1965,2,,,
342562,1965-02-16,6335301,99.5,,1965,2,,,
342563,1965-02-17,6335301,85.9,,1965,2,,,
342564,1965-02-18,6335301,82.0,,1965,2,,,
342565,1965-02-19,6335301,77.2,,1965,2,,,
342566,1965-02-20,6335301,71.9,,1965,2,,,
342567,1965-02-21,6335301,70.6,,1965,2,,,
342568,1965-02-22,6335301,59.8,,1965,2,,,
342569,1965-02-23,6335301,62.1,,1965,2,,,
342570,1965-02-24,6335301,65.7,,1965,2,,,
342571,1965-02-25,6335301,60.1,,1965,2,,,
342572,1965-02-26,6335301,61.3,,1965,2,,,
342573,1965-02-27,6335301,58.4,,1965,2,,,
342574,1965-02-28,6335301,57.9,,1965,2,,,
342575,1965-03-01,6335301,55.5,,1965,3,,,
342576,1965-03-02,6335301,63.5,,1965,3,,,
342577,1965-03-03,6335301,59.8,,1965,3,,,
342578,1965-03-04,6335301,56.3,,1965,3,,,
342579,1965-03-05,6335301,56.1,,1965,3,,,
342580,1965-03-06,6335301,56.7,,1965,3,,,
342581,1965-03-07,6335301,56.2,,1965,3,,,
342582,1965-03-08,6335301,49.3,,1965,3,,,
342583,1965-03-09,6335301,50.3,,1965,3,,,
342584,1965-03-10,6335301,53.5,,1965,3,,,
342585,1965-03-11,6335301,53.0,,1965,3,,,
342586,1965-03-12,6335301,52.1,,1965,3,,,
342587,1965-03-13,6335301,53.9,,1965,3,,,
342588,1965-03-14,6335301,54.0,,1965,3,,,
342589,1965-03-15,6335301,62.0,,1965,3,,,
342590,1965-03-16,6335301,110.0,,1965,3,,,
342591,1965-03-17,6335301,209.0,,1965,3,,,
342592,1965-03-18,6335301,300.0,,1965,3,,,
342593,1965-03-19,6335301,360.0,,1965,3,,,
342594,1965-03-20,6335301,401.0,,1965,3,,,
342595,1965-03-21,6335301,397.0,,1965,3,,,
342596,1965-03-22,6335301,426.0,,1965,3,,,
342597,1965-03-23,6335301,479.0,,1965,3,,,
342598,1965-03-24,6335301,476.0,,1965,3,,,
342599,1965-03-25,6335301,407.0,,1965,3,,,
342600,1965-03-26,6335301,445.0,,1965,3,,,
342601,1965-03-27,6335301,545.0,,1965,3,,,
342602,1965-03-28,6335301,652.0,,1965,3,,,
342603,1965-03-29,6335301,545.0,,1965,3,,,
342604,1965-03-30,6335301,420.0,,1965,3,,,
342605,1965-03-31,6335301,356.0,,1965,3,,,
342606,1965-04-01,6335301,314.0,,1965,4,,,
342607,1965-04-02,6335301,276.0,,1965,4,,,
342608,1965-04-03,6335301,235.0,,1965,4,,,
342609,1965-04-04,6335301,212.0,,1965,4,,,
342610,1965-04-05,6335301,195.0,,1965,4,,,
342611,1965-04-06,6335301,181.0,,1965,4,,,
342612,1965-04-07,6335301,173.0,,1965,4,,,
342613,1965-04-08,6335301,169.0,,1965,4,,,
342614,1965-04-09,6335301,163.0,,1965,4,,,
342615,1965-04-10,6335301,161.0,,1965,4,,,
342616,1965-04-11,6335301,149.0,,1965,4,,,
342617,1965-04-12,6335301,146.0,,1965,4,,,
342618,1965-04-13,6335301,148.0,,1965,4,,,
342619,1965-04-14,6335301,142.0,,1965,4,,,
342620,1965-04-15,6335301,126.0,,1965,4,,,
342621,1965-04-16,6335301,130.0,,1965,4,,,
342622,1965-05-03,6335301,300.0,,1965,5,,,
342623,1965-05-04,6335301,240.0,,1965,5,,,
342624,1965-05-05,6335301,230.0,,1965,5,,,
342625,1965-05-06,6335301,235.0,,1965,5,,,
342626,1965-05-07,6335301,225.0,,1965,5,,,
342627,1965-05-08,6335301,228.0,,1965,5,,,
342628,1965-05-09,6335301,265.0,,1965,5,,,
342629,1965-05-10,6335301,278.0,,1965,5,,,
342630,1965-05-11,6335301,290.0,,1965,5,,,
342631,1965-05-12,6335301,280.0,,1965,5,,,
342632,1965-05-13,6335301,244.0,,1965,5,,,
342633,1965-05-14,6335301,204.0,,1965,5,,,
342634,1965-05-15,6335301,180.0,,1965,5,,,
342635,1965-05-16,6335301,160.0,,1965,5,,,
342636,1965-05-17,6335301,151.0,,1965,5,,,
342637,1965-05-18,6335301,143.0,,1965,5,,,
342638,1965-05-19,6335301,160.0,,1965,5,,,
342639,1965-05-20,6335301,220.0,,1965,5,,,
342640,1965-05-21,6335301,220.0,,1965,5,,,
342641,1965-05-22,6335301,172.0,,1965,5,,,
342642,1965-05-23,6335301,151.0,,1965,5,,,
342643,1965-05-24,6335301,129.0,,1965,5,,,
342644,1965-05-25,6335301,125.0,,1965,5,,,
342645,1965-05-26,6335301,118.0,,1965,5,,,
342646,1965-05-27,6335301,116.0,,1965,5,,,
342647,1965-05-28,6335301,111.0,,1965,5,,,
342648,1965-05-29,6335301,108.0,,1965,5,,,
342649,1965-05-30,6335301,112.0,,1965,5,,,
342650,1965-05-31,6335301,111.0,,1965,5,,,
342651,1965-06-01,6335301,117.0,,1965,6,,,
342652,1965-06-02,6335301,174.0,,1965,6,,,
342653,1965-06-03,6335301,206.0,,1965,6,,,
342654,1965-06-04,6335301,210.0,,1965,6,,,
342655,1965-06-05,6335301,166.0,,1965,6,,,
342656,1965-06-06,6335301,138.0,,1965,6,,,
342657,1965-06-07,6335301,120.0,,1965,6,,,
342658,1965-06-08,6335301,116.0,,1965,6,,,
342659,1965-06-09,6335301,212.0,,1965,6,,,
342660,1965-06-10,6335301,320.0,,1965,6,,,
342661,1965-06-11,6335301,375.0,,1965,6,,,
342662,1965-06-12,6335301,462.0,,1965,6,,,
342663,1965-06-13,6335301,458.0,,1965,6,,,
342664,1965-06-14,6335301,393.0,,1965,6,,,
342665,1965-06-15,6335301,335.0,,1965,6,,,
342666,1965-06-16,6335301,262.0,,1965,6,,,
342667,1965-06-17,6335301,214.0,,1965,6,,,
342668,1965-06-18,6335301,214.0,,1965,6,,,
342669,1965-06-19,6335301,210.0,,1965,6,,,
342670,1965-06-20,6335301,180.0,,1965,6,,,
342671,1965-06-21,6335301,178.0,,1965,6,,,
342672,1965-06-22,6335301,142.0,,1965,6,,,
342673,1965-06-23,6335301,164.0,,1965,6,,,
342674,1965-06-24,6335301,182.0,,1965,6,,,
342675,1965-06-25,6335301,150.0,,1965,6,,,
342676,1965-06-26,6335301,128.0,,1965,6,,,
342677,1965-06-27,6335301,118.0,,1965,6,,,
342678,1965-06-28,6335301,106.0,,1965,6,,,
342679,1965-06-29,6335301,117.0,,1965,6,,,
342680,1965-06-30,6335301,96.7,,1965,6,,,
342681,1965-07-01,6335301,92.9,,1965,7,,,
342682,1965-07-02,6335301,98.8,,1965,7,,,
342683,1965-07-03,6335301,107.0,,1965,7,,,
342684,1965-07-04,6335301,99.9,,1965,7,,,
342685,1965-07-05,6335301,96.6,,1965,7,,,
342686,1965-07-06,6335301,92.4,,1965,7,,,
342687,1965-07-07,6335301,81.5,,1965,7,,,
342688,1965-07-08,6335301,85.4,,1965,7,,,
342689,1965-07-09,6335301,87.1,,1965,7,,,
342690,1965-07-10,6335301,89.3,,1965,7,,,
342691,1965-07-11,6335301,85.1,,1965,7,,,
342692,1965-07-12,6335301,86.7,,1965,7,,,
342693,1965-07-13,6335301,83.1,,1965,7,,,
342694,1965-07-14,6335301,74.9,,1965,7,,,
342695,1965-07-15,6335301,67.3,,1965,7,,,
342696,1965-07-16,6335301,80.0,,1965,7,,,
342697,1965-07-17,6335301,122.0,,1965,7,,,
342698,1965-07-18,6335301,180.0,,1965,7,,,
342699,1965-07-19,6335301,166.0,,1965,7,,,
342700,1965-07-20,6335301,130.0,,1965,7,,,
342701,1965-07-21,6335301,126.0,,1965,7,,,
342702,1965-07-22,6335301,124.0,,1965,7,,,
342703,1965-07-23,6335301,103.0,,1965,7,,,
342704,1965-07-24,6335301,94.6,,1965,7,,,
342705,1965-07-25,6335301,91.2,,1965,7,,,
342706,1965-07-26,6335301,78.3,,1965,7,,,
342707,1965-07-27,6335301,75.9,,1965,7,,,
342708,1965-07-28,6335301,80.7,,1965,7,,,
342709,1965-07-29,6335301,83.9,,1965,7,,,
342710,1965-07-30,6335301,83.7,,1965,7,,,
342711,1965-07-31,6335301,88.4,,1965,7,,,
342712,1965-08-17,6335301,56.1,,1965,8,,,
342713,1965-08-18,6335301,52.8,,1965,8,,,
342714,1965-08-19,6335301,52.5,,1965,8,,,
342715,1965-08-20,6335301,51.1,,1965,8,,,
342716,1965-08-21,6335301,46.6,,1965,8,,,
342717,1965-08-22,6335301,50.6,,1965,8,,,
342718,1965-08-23,6335301,53.4,,1965,8,,,
342719,1965-08-24,6335301,52.2,,1965,8,,,
342720,1965-08-25,6335301,51.2,,1965,8,,,
342721,1965-08-26,6335301,53.0,,1965,8,,,
342722,1965-08-27,6335301,53.1,,1965,8,,,
342723,1965-08-28,6335301,52.1,,1965,8,,,
342724,1965-08-29,6335301,49.7,,1965,8,,,
342725,1965-08-30,6335301,48.5,,1965,8,,,
342726,1965-08-31,6335301,50.6,,1965,8,,,
342727,1965-09-01,6335301,49.7,,1965,9,,,
342728,1965-09-02,6335301,50.6,,1965,9,,,
342729,1965-09-03,6335301,53.0,,1965,9,,,
342730,1965-09-04,6335301,53.5,,1965,9,,,
342731,1965-09-05,6335301,51.2,,1965,9,,,
342732,1965-09-06,6335301,56.7,,1965,9,,,
