,date,station_no,discharge,water_level,year,month,delta1,delta2,delta3
536112,1965-01-01,6335602,26.8,,1965,1,,,
536113,1965-01-02,6335602,50.9,,1965,1,,,
536114,1965-01-03,6335602,57.3,,1965,1,,,
536115,1965-01-04,6335602,41.6,,1965,1,,,
536116,1965-01-05,6335602,35.6,,1965,1,,,
536117,1965-01-06,6335602,31.1,,1965,1,,,
536118,1965-01-07,6335602,31.1,,1965,1,,,
536119,1965-01-08,6335602,46.7,,1965,1,,,
536120,1965-01-09,6335602,88.4,,1965,1,,,
536121,1965-01-10,6335602,97.5,,1965,1,,,
536122,1965-01-11,6335602,117.0,,1965,1,,,
536123,1965-01-12,6335602,89.7,,1965,1,,,
536124,1965-01-13,6335602,70.2,,1965,1,,,
536125,1965-01-14,6335602,60.6,,1965,1,,,
536126,1965-01-15,6335602,54.0,,1965,1,,,
536127,1965-01-16,6335602,46.7,,1965,1,,,
536128,1965-01-17,6335602,54.0,,1965,1,,,
536129,1965-01-18,6335602,135.0,,1965,1,,,
536130,1965-01-19,6335602,103.0,,1965,1,,,
536131,1965-01-20,6335602,79.3,,1965,1,,,
536132,1965-01-21,6335602,66.3,,1965,1,,,
536133,1965-01-22,6335602,58.4,,1965,1,,,
536134,1965-01-23,6335602,51.9,,1965,1,,,
536135,1965-01-24,6335602,47.7,,1965,1,,,
536136,1965-01-25,6335602,45.7,,1965,1,,,
536137,1965-01-26,6335602,44.6,,1965,1,,,
536138,1965-01-27,6335602,43.6,,1965,1,,,
536139,1965-01-28,6335602,41.6,,1965,1,,,
536140,1965-01-29,6335602,40.6,,1965,1,,,
536141,1965-01-30,6335602,42.6,,1965,1,,,
536142,1965-01-31,6335602,101.0,,1965,1,,,
536143,1965-02-01,6335602,170.0,,1965,2,,,
536144,1965-02-02,6335602,116.0,,1965,2,,,
536145,1965-02-03,6335602,88.4,,1965,2,,,
536146,1965-02-04,6335602,76.7,,1965,2,,,
536147,1965-02-05,6335602,67.3,,1965,2,,,
536148,1965-02-06,6335602,60.6,,1965,2,,,
536149,1965-02-07,6335602,55.1,,1965,2,,,
536150,1965-02-08,6335602,54.0,,1965,2,,,
536151,1965-02-09,6335602,48.8,,1965,2,,,
536152,1965-02-10,6335602,42.6,,1965,2,,,
536153,1965-02-11,6335602,41.6,,1965,2,,,
536154,1965-02-12,6335602,40.6,,1965,2,,,
536155,1965-02-13,6335602,40.6,,1965,2,,,
536156,1965-02-14,6335602,48.8,,1965,2,,,
