,date,station_no,discharge,water_level,year,month,delta1,delta2,delta3
372300,1965-01-01,6335304,94.0,,1965,1,,,
372301,1965-01-02,6335304,121.0,,1965,1,,,
372302,1965-01-03,6335304,114.0,,1965,1,,,
372303,1965-01-04,6335304,92.0,,1965,1,,,
372304,1965-01-05,6335304,94.0,,1965,1,,,
372305,1965-01-06,6335304,93.1,,1965,1,,,
372306,1965-01-07,6335304,91.2,,1965,1,,,
372307,1965-01-08,6335304,105.0,,1965,1,,,
372308,1965-01-09,6335304,153.0,,1965,1,,,
372309,1965-01-10,6335304,258.0,,1965,1,,,
372310,1965-01-11,6335304,390.0,,1965,1,,,
372311,1965-01-12,6335304,415.0,,1965,1,,,
372312,1965-01-13,6335304,363.0,,1965,1,,,
372313,1965-01-14,6335304,296.0,,1965,1,,,
372314,1965-01-15,6335304,232.0,,1965,1,,,
372315,1965-01-16,6335304,201.0,,1965,1,,,
372316,1965-01-17,6335304,204.0,,1965,1,,,
372317,1965-01-18,6335304,310.0,,1965,1,,,
372318,1965-01-19,6335304,360.0,,1965,1,,,
372319,1965-01-20,6335304,404.0,,1965,1,,,
372320,1965-01-21,6335304,335.0,,1965,1,,,
372321,1965-01-22,6335304,258.0,,1965,1,,,
372322,1965-01-23,6335304,234.0,,1965,1,,,
372323,1965-01-24,6335304,195.0,,1965,1,,,
372324,1965-01-25,6335304,182.0,,1965,1,,,
372325,1965-01-26,6335304,180.0,,1965,1,,,
372326,1965-01-27,6335304,179.0,,1965,1,,,
372327,1965-01-28,6335304,167.0,,1965,1,,,
372328,1965-01-29,6335304,155.0,,1965,1,,,
372329,1965-01-30,6335304,169.0,,1965,1,,,
372330,1965-01-31,6335304,250.0,,1965,1,,,
372331,1965-02-01,6335304,343.0,,1965,2,,,
372332,1965-02-02,6335304,343.0,,1965,2,,,
372333,1965-02-03,6335304,331.0,,1965,2,,,
372334,1965-02-04,6335304,292.0,,1965,2,,,
372335,1965-02-05,6335304,266.0,,1965,2,,,
372336,1965-02-06,6335304,221.0,,1965,2,,,
372337,1965-02-07,6335304,208.0,,1965,2,,,
372338,1965-02-08,6335304,204.0,,1965,2,,,
372339,1965-02-09,6335304,186.0,,1965,2,,,
372340,1965-02-10,6335304,194.0,,1965,2,,,
372341,1965-02-11,6335304,159.0,,1965,2,,,
372342,1965-02-12,6335304,154.0,,1965,2,,,
372343,1965-02-13,6335304,169.0,,1965,2,,,
372344,1965-02-14,6335304,172.0,,1965,2,,,
372345,1965-02-15,6335304,184.0,,1965,2,,,
372346,1965-02-16,6335304,180.0,,1965,2,,,
372347,1965-02-17,6335304,175.0,,1965,2,,,
372348,1965-02-18,6335304,141.0,,1965,2,,,
372349,1965-02-19,6335304,142.0,,1965,2,,,
372350,1965-02-20,6335304,140.0,,1965,2,,,
372351,1965-02-21,6335304,130.0,,1965,2,,,
372352,1965-02-22,6335304,123.0,,1965,2,,,
372353,1965-02-23,6335304,119.0,,1965,2,,,
372354,1965-02-24,6335304,113.0,,1965,2,,,
372355,1965-02-25,6335304,124.0,,1965,2,,,
372356,1965-02-26,6335304,108.0,,1965,2,,,
372357,1965-02-27,6335304,110.0,,1965,2,,,
372358,1965-02-28,6335304,114.0,,1965,2,,,
372359,1965-03-01,6335304,99.0,,1965,3,,,
372360,1965-03-02,6335304,106.0,,1965,3,,,
372361,1965-03-03,6335304,119.0,,1965,3,,,
372362,1965-03-04,6335304,99.0,,1965,3,,,
372363,1965-03-05,6335304,104.0,,1965,3,,,
372364,1965-03-06,6335304,96.3,,1965,3,,,
372365,1965-03-07,6335304,97.2,,1965,3,,,
372366,1965-03-08,6335304,95.4,,1965,3,,,
372367,1965-03-09,6335304,88.0,,1965,3,,,
372368,1965-03-10,6335304,82.7,,1965,3,,,
372369,1965-03-11,6335304,93.6,,1965,3,,,
372370,1965-03-12,6335304,94.5,,1965,3,,,
372371,1965-03-13,6335304,95.0,,1965,3,,,
372372,1965-03-14,6335304,90.3,,1965,3,,,
372373,1965-03-15,6335304,103.0,,1965,3,,,
372374,1965-03-16,6335304,184.0,,1965,3,,,
372375,1965-03-17,6335304,285.0,,1965,3,,,
372376,1965-03-18,6335304,384.0,,1965,3,,,
372377,1965-03-19,6335304,462.0,,1965,3,,,
372378,1965-03-20,6335304,517.0,,1965,3,,,
372379,1965-03-21,6335304,564.0,,1965,3,,,
372380,1965-03-22,6335304,696.0,,1965,3,,,
372381,1965-03-23,6335304,645.0,,1965,3,,,
372382,1965-03-24,6335304,657.0,,1965,3,,,
372383,1965-03-25,6335304,684.0,,1965,3,,,
372384,1965-03-26,6335304,700.0,,1965,3,,,
372385,1965-03-27,6335304,810.0,,1965,3,,,
372386,1965-03-28,6335304,891.0,,1965,3,,,
372387,1965-03-29,6335304,913.0,,1965,3,,,
372388,1965-03-30,6335304,900.0,,1965,3,,,
372389,1965-03-31,6335304,708.0,,1965,3,,,
372390,1965-04-01,6335304,604.0,,1965,4,,,
372391,1965-04-02,6335304,556.0,,1965,4,,,
372392,1965-04-03,6335304,478.0,,1965,4,,,
372393,1965-04-04,6335304,428.0,,1965,4,,,
372394,1965-04-05,6335304,350.0,,1965,4,,,
372395,1965-04-06,6335304,317.0,,1965,4,,,
372396,1965-04-07,6335304,303.0,,1965,4,,,
372397,1965-04-08,6335304,292.0,,1965,4,,,
372398,1965-04-09,6335304,274.0,,1965,4,,,
372399,1965-04-10,6335304,274.0,,1965,4,,,
372400,1965-04-11,6335304,262.0,,1965,4,,,
372401,1965-04-12,6335304,250.0,,1965,4,,,
372402,1965-04-13,6335304,250.0,,1965,4,,,
372403,1965-04-14,6335304,237.0,,1965,4,,,
372404,1965-04-15,6335304,228.0,,1965,4,,,
372405,1965-04-16,6335304,241.0,,1965,4,,,
372406,1965-05-03,6335304,589.0,,1965,5,,,
372407,1965-05-04,6335304,505.0,,1965,5,,,
372408,1965-05-05,6335304,447.0,,1965,5,,,
372409,1965-05-06,6335304,443.0,,1965,5,,,
372410,1965-05-07,6335304,458.0,,1965,5,,,
372411,1965-05-08,6335304,462.0,,1965,5,,,
372412,1965-05-09,6335304,466.0,,1965,5,,,
372413,1965-05-10,6335304,513.0,,1965,5,,,
372414,1965-05-11,6335304,523.0,,1965,5,,,
372415,1965-05-12,6335304,517.0,,1965,5,,,
372416,1965-05-13,6335304,482.0,,1965,5,,,
372417,1965-05-14,6335304,418.0,,1965,5,,,
372418,1965-05-15,6335304,370.0,,1965,5,,,
372419,1965-05-16,6335304,350.0,,1965,5,,,
372420,1965-05-17,6335304,300.0,,1965,5,,,
372421,1965-05-18,6335304,292.0,,1965,5,,,
372422,1965-05-19,6335304,277.0,,1965,5,,,
372423,1965-05-20,6335304,277.0,,1965,5,,,
372424,1965-05-21,6335304,335.0,,1965,5,,,
372425,1965-05-22,6335304,324.0,,1965,5,,,
372426,1965-05-23,6335304,281.0,,1965,5,,,
372427,1965-05-24,6335304,254.0,,1965,5,,,
372428,1965-05-25,6335304,241.0,,1965,5,,,
372429,1965-05-26,6335304,254.0,,1965,5,,,
372430,1965-05-27,6335304,180.0,,1965,5,,,
372431,1965-05-28,6335304,196.0,,1965,5,,,
372432,1965-05-29,6335304,185.0,,1965,5,,,
372433,1965-05-30,6335304,175.0,,1965,5,,,
372434,1965-05-31,6335304,179.0,,1965,5,,,
372435,1965-06-01,6335304,250.0,,1965,6,,,
372436,1965-06-02,6335304,270.0,,1965,6,,,
372437,1965-06-03,6335304,331.0,,1965,6,,,
372438,1965-06-04,6335304,313.0,,1965,6,,,
372439,1965-06-05,6335304,285.0,,1965,6,,,
372440,1965-06-06,6335304,277.0,,1965,6,,,
372441,1965-06-07,6335304,220.0,,1965,6,,,
372442,1965-06-08,6335304,243.0,,1965,6,,,
372443,1965-06-09,6335304,436.0,,1965,6,,,
372444,1965-06-10,6335304,797.0,,1965,6,,,
372445,1965-06-11,6335304,849.0,,1965,6,,,
372446,1965-06-12,6335304,758.0,,1965,6,,,
372447,1965-06-13,6335304,725.0,,1965,6,,,
372448,1965-06-14,6335304,754.0,,1965,6,,,
372449,1965-06-15,6335304,626.0,,1965,6,,,
372450,1965-06-16,6335304,556.0,,1965,6,,,
372451,1965-06-17,6335304,534.0,,1965,6,,,
372452,1965-06-18,6335304,513.0,,1965,6,,,
372453,1965-06-19,6335304,428.0,,1965,6,,,
372454,1965-06-20,6335304,394.0,,1965,6,,,
372455,1965-06-21,6335304,324.0,,1965,6,,,
372456,1965-06-22,6335304,320.0,,1965,6,,,
372457,1965-06-23,6335304,296.0,,1965,6,,,
372458,1965-06-24,6335304,288.0,,1965,6,,,
372459,1965-06-25,6335304,310.0,,1965,6,,,
372460,1965-06-26,6335304,277.0,,1965,6,,,
372461,1965-06-27,6335304,250.0,,1965,6,,,
372462,1965-06-28,6335304,224.0,,1965,6,,,
372463,1965-06-29,6335304,208.0,,1965,6,,,
372464,1965-06-30,6335304,216.0,,1965,6,,,
372465,1965-07-01,6335304,177.0,,1965,7,,,
372466,1965-07-02,6335304,190.0,,1965,7,,,
372467,1965-07-03,6335304,183.0,,1965,7,,,
372468,1965-07-04,6335304,182.0,,1965,7,,,
372469,1965-07-05,6335304,179.0,,1965,7,,,
372470,1965-07-06,6335304,170.0,,1965,7,,,
372471,1965-07-07,6335304,160.0,,1965,7,,,
372472,1965-07-08,6335304,157.0,,1965,7,,,
372473,1965-07-09,6335304,155.0,,1965,7,,,
372474,1965-07-10,6335304,155.0,,1965,7,,,
372475,1965-07-11,6335304,158.0,,1965,7,,,
372476,1965-07-12,6335304,151.0,,1965,7,,,
372477,1965-07-13,6335304,155.0,,1965,7,,,
372478,1965-07-14,6335304,149.0,,1965,7,,,
372479,1965-07-15,6335304,129.0,,1965,7,,,
372480,1965-07-16,6335304,189.0,,1965,7,,,
372481,1965-07-17,6335304,266.0,,1965,7,,,
372482,1965-07-18,6335304,335.0,,1965,7,,,
372483,1965-07-19,6335304,307.0,,1965,7,,,
372484,1965-07-20,6335304,310.0,,1965,7,,,
372485,1965-07-21,6335304,320.0,,1965,7,,,
372486,1965-07-22,6335304,307.0,,1965,7,,,
372487,1965-07-23,6335304,285.0,,1965,7,,,
372488,1965-07-24,6335304,254.0,,1965,7,,,
372489,1965-07-25,6335304,227.0,,1965,7,,,
372490,1965-07-26,6335304,167.0,,1965,7,,,
372491,1965-07-27,6335304,172.0,,1965,7,,,
372492,1965-07-28,6335304,174.0,,1965,7,,,
372493,1965-07-29,6335304,159.0,,1965,7,,,
372494,1965-07-30,6335304,202.0,,1965,7,,,
372495,1965-07-31,6335304,196.0,,1965,7,,,
372496,1965-08-17,6335304,113.0,,1965,8,,,
372497,1965-08-18,6335304,107.0,,1965,8,,,
372498,1965-08-19,6335304,104.0,,1965,8,,,
372499,1965-08-20,6335304,100.0,,1965,8,,,
372500,1965-08-21,6335304,102.0,,1965,8,,,
372501,1965-08-22,6335304,102.0,,1965,8,,,
372502,1965-08-23,6335304,105.0,,1965,8,,,
372503,1965-08-24,6335304,105.0,,1965,8,,,
372504,1965-08-25,6335304,118.0,,1965,8,,,
372505,1965-08-26,6335304,104.0,,1965,8,,,
372506,1965-08-27,6335304,102.0,,1965,8,,,
372507,1965-08-28,6335304,100.0,,1965,8,,,
372508,1965-08-29,6335304,100.0,,1965,8,,,
372509,1965-08-30,6335304,103.0,,1965,8,,,
372510,1965-08-31,6335304,94.5,,1965,8,,,
372511,1965-09-01,6335304,106.0,,1965,9,,,
372512,1965-09-02,6335304,95.5,,1965,9,,,
372513,1965-09-03,6335304,120.0,,1965,9,,,
372514,1965-09-04,6335304,122.0,,1965,9,,,
372515,1965-09-05,6335304,104.0,,1965,9,,,
372516,1965-09-06,6335304,111.0,,1965,9,,,
372517,1965-09-07,6335304,107.0,,1965,9,,,
372518,1965-09-08,6335304,135.0,,1965,9,,,
372519,1965-09-09,6335304,127.0,,1965,9,,,
372520,1965-09-10,6335304,132.0,,1965,9,,,
372521,1965-09-11,6335304,134.0,,1965,9,,,
372522,1965-09-12,6335304,146.0,,1965,9,,,
372523,1965-09-13,6335304,148.0,,1965,9,,,
372524,1965-09-14,6335304,134.0,,1965,9,,,
372525,1965-09-15,6335304,124.0,,1965,9,,,
372526,1965-09-16,6335304,115.0,,1965,9,,,
372527,1965-09-17,6335304,118.0,,1965,9,,,
372528,1965-09-18,6335304,110.0,,1965,9,,,
372529,1965-09-19,6335304,103.0,,1965,9,,,
372530,1965-09-20,6335304,107.0,,1965,9,,,
372531,1965-09-21,6335304,95.7,,1965,9,,,
372532,1965-09-22,6335304,102.0,,1965,9,,,
372533,1965-09-23,6335304,95.0,,1965,9,,,
372534,1965-09-24,6335304,101.0,,1965,9,,,
372535,1965-09-25,6335304,89.6,,1965,9,,,
372536,1965-09-26,6335304,91.4,,1965,9,,,
372537,1965-09-27,6335304,92.6,,1965,9,,,
372538,1965-09-28,6335304,94.3,,1965,9,,,
372539,1965-09-29,6335304,94.8,,1965,9,,,
372540,1965-09-30,6335304,99.0,,1965,9,,,
372541,1965-10-01,6335304,95.8,,1965,10,,,
372542,1965-10-02,6335304,90.5,,1965,10,,,
372543,1965-10-03,6335304,97.0,,1965,10,,,
372544,1965-10-04,6335304,94.6,,1965,10,,,
372545,1965-10-05,6335304,85.2,,1965,10,,,
372546,1965-10-06,6335304,94.0,,1965,10,,,
372547,1965-10-07,6335304,89.2,,1965,10,,,
372548,1965-10-08,6335304,78.6,,1965,10,,,
372549,1965-10-09,6335304,80.0,,1965,10,,,
372550,1965-10-10,6335304,90.6,,1965,10,,,
372551,1965-10-11,6335304,91.1,,1965,10,,,
372552,1965-10-12,6335304,74.5,,1965,10,,,
372553,1965-10-13,6335304,94.6,,1965,10,,,
372554,1965-10-14,6335304,84.2,,1965,10,,,
372555,1965-10-15,6335304,81.3,,1965,10,,,
372556,1965-10-16,6335304,83.5,,1965,10,,,
372557,1965-10-17,6335304,83.8,,1965,10,,,
372558,1965-10-18,6335304,77.4,,1965,10,,,
372559,1965-10-19,6335304,86.1,,1965,10,,,
372560,1965-10-20,6335304,75.1,,1965,10,,,
372561,1965-10-21,6335304,80.1,,1965,10,,,
372562,1965-10-22,6335304,79.7,,1965,10,,,
372563,1965-10-23,6335304,86.7,,1965,10,,,
372564,1965-10-24,6335304,77.1,,1965,10,,,
372565,1965-10-25,6335304,81.4,,1965,10,,,
372566,1965-10-26,6335304,83.6,,1965,10,,,
372567,1965-10-27,6335304,80.9,,1965,10,,,
372568,1965-10-28,6335304,83.0,,1965,10,,,
372569,1965-10-29,6335304,78.4,,1965,10,,,
372570,1965-10-30,6335304,80.5,,1965,10,,,
372571,1965-10-31,6335304,80.2,,1965,10,,,
372572,1965-11-01,6335304,78.4,,1965,11,,,
372573,1965-11-02,6335304,92.5,,1965,11,,,
372574,1965-11-03,6335304,95.8,,1965,11,,,
372575,1965-11-04,6335304,101.0,,1965,11,,,
