,date,station_no,discharge,water_level,year,month,delta1,delta2,delta3
253164,1965-01-01,6335150,826.0,185.0,1965,1,,,
253165,1965-01-02,6335150,878.0,195.0,1965,1,-10.0,,
253166,1965-01-03,6335150,916.0,202.0,1965,1,-7.0,-17.0,
253167,1965-01-04,6335150,971.0,212.0,1965,1,-10.0,-17.0,-27.0
253168,1965-01-05,6335150,993.0,216.0,1965,1,-4.0,-14.0,-21.0
253169,1965-01-06,6335150,954.0,209.0,1965,1,7.0,3.0,-7.0
253170,1965-01-07,6335150,921.0,203.0,1965,1,6.0,13.0,9.0
253171,1965-01-08,6335150,921.0,203.0,1965,1,0.0,6.0,13.0
253172,1965-01-09,6335150,993.0,216.0,1965,1,-13.0,-13.0,-7.0
253173,1965-01-10,6335150,1260.0,260.0,1965,1,-44.0,-57.0,-57.0
253174,1965-01-11,6335150,1710.0,325.0,1965,1,-65.0,-109.0,-122.0
253175,1965-01-12,6335150,1920.0,352.0,1965,1,-27.0,-92.0,-136.0
253176,1965-01-13,6335150,1710.0,325.0,1965,1,27.0,0.0,-65.0
253177,1965-01-14,6335150,1500.0,296.0,1965,1,29.0,56.0,29.0
253178,1965-01-15,6335150,1350.0,273.0,1965,1,23.0,52.0,79.0
253179,1965-01-16,6335150,1270.0,261.0,1965,1,12.0,35.0,64.0
253180,1965-01-17,6335150,1280.0,262.0,1965,1,-1.0,11.0,34.0
253181,1965-01-18,6335150,1440.0,286.0,1965,1,-24.0,-25.0,-13.0
253182,1965-01-19,6335150,1740.0,329.0,1965,1,-43.0,-67.0,-68.0
253183,1965-01-20,6335150,2000.0,362.0,1965,1,-33.0,-76.0,-100.0
253184,1965-01-21,6335150,1870.0,346.0,1965,1,16.0,-17.0,-60.0
253185,1965-01-22,6335150,1660.0,318.0,1965,1,28.0,44.0,11.0
253186,1965-01-23,6335150,1500.0,295.0,1965,1,23.0,51.0,67.0
253187,1965-01-24,6335150,1400.0,280.0,1965,1,15.0,38.0,66.0
253188,1965-01-25,6335150,1320.0,268.0,1965,1,12.0,27.0,50.0
253189,1965-01-26,6335150,1250.0,258.0,1965,1,10.0,22.0,37.0
253190,1965-01-27,6335150,1280.0,263.0,1965,1,-5.0,5.0,17.0
253191,1965-01-28,6335150,1240.0,256.0,1965,1,7.0,2.0,12.0
253192,1965-01-29,6335150,1180.0,247.0,1965,1,9.0,16.0,11.0
253193,1965-01-30,6335150,1180.0,247.0,1965,1,0.0,9.0,16.0
253194,1965-01-31,6335150,1330.0,270.0,1965,1,-23.0,-23.0,-14.0
253195,1965-02-01,6335150,1700.0,324.0,1965,2,-54.0,-77.0,-77.0
253196,1965-02-02,6335150,1990.0,361.0,1965,2,-37.0,-91.0,-114.0
253197,1965-02-03,6335150,1980.0,360.0,1965,2,1.0,-36.0,-90.0
253198,1965-02-04,6335150,1890.0,349.0,1965,2,11.0,12.0,-25.0
253199,1965-02-05,6335150,1740.0,329.0,1965,2,20.0,31.0,32.0
253200,1965-02-06,6335150,1610.0,312.0,1965,2,17.0,37.0,48.0
253201,1965-02-07,6335150,1520.0,298.0,1965,2,14.0,31.0,51.0
253202,1965-02-08,6335150,1440.0,286.0,1965,2,12.0,26.0,43.0
253203,1965-02-09,6335150,1380.0,277.0,1965,2,9.0,21.0,35.0
253204,1965-02-10,6335150,1320.0,269.0,1965,2,8.0,17.0,29.0
253205,1965-02-11,6335150,1260.0,259.0,1965,2,10.0,18.0,27.0
253206,1965-02-12,6335150,1210.0,251.0,1965,2,8.0,18.0,26.0
253207,1965-02-13,6335150,1190.0,249.0,1965,2,2.0,10.0,20.0
253208,1965-02-14,6335150,1190.0,249.0,1965,2,0.0,2.0,10.0
253209,1965-02-15,6335150,1190.0,248.0,1965,2,1.0,1.0,3.0
253210,1965-02-16,6335150,1160.0,244.0,1965,2,4.0,5.0,5.0
253211,1965-02-17,6335150,1150.0,242.0,1965,2,2.0,6.0,7.0
253212,1965-02-18,6335150,1120.0,238.0,1965,2,4.0,6.0,10.0
253213,1965-02-19,6335150,1100.0,234.0,1965,2,4.0,8.0,10.0
253214,1965-02-20,6335150,1060.0,227.0,1965,2,7.0,11.0,15.0
253215,1965-02-21,6335150,1040.0,224.0,1965,2,3.0,10.0,14.0
253216,1965-02-22,6335150,998.0,217.0,1965,2,7.0,10.0,17.0
253217,1965-02-23,6335150,949.0,208.0,1965,2,9.0,16.0,19.0
253218,1965-02-24,6335150,932.0,205.0,1965,2,3.0,12.0,19.0
253219,1965-02-25,6335150,938.0,206.0,1965,2,-1.0,2.0,11.0
253220,1965-02-26,6335150,910.0,201.0,1965,2,5.0,4.0,7.0
253221,1965-02-27,6335150,910.0,201.0,1965,2,0.0,5.0,4.0
253222,1965-02-28,6335150,905.0,200.0,1965,2,1.0,1.0,6.0
253223,1965-03-01,6335150,894.0,198.0,1965,3,2.0,3.0,3.0
253224,1965-03-02,6335150,889.0,197.0,1965,3,1.0,3.0,4.0
253225,1965-03-03,6335150,921.0,203.0,1965,3,-6.0,-5.0,-3.0
253226,1965-03-04,6335150,932.0,205.0,1965,3,-2.0,-8.0,-7.0
253227,1965-03-05,6335150,905.0,200.0,1965,3,5.0,3.0,-3.0
253228,1965-03-06,6335150,884.0,196.0,1965,3,4.0,9.0,7.0
253229,1965-03-07,6335150,868.0,193.0,1965,3,3.0,7.0,12.0
253230,1965-03-08,6335150,858.0,191.0,1965,3,2.0,5.0,9.0
253231,1965-03-09,6335150,837.0,187.0,1965,3,4.0,6.0,9.0
253232,1965-03-10,6335150,821.0,184.0,1965,3,3.0,7.0,9.0
253233,1965-03-11,6335150,858.0,191.0,1965,3,-7.0,-4.0,0.0
253234,1965-03-12,6335150,847.0,189.0,1965,3,2.0,-5.0,-2.0
253235,1965-03-13,6335150,837.0,187.0,1965,3,2.0,4.0,-3.0
253236,1965-03-14,6335150,842.0,188.0,1965,3,-1.0,1.0,3.0
253237,1965-03-15,6335150,894.0,198.0,1965,3,-10.0,-11.0,-9.0
253238,1965-03-16,6335150,1070.0,229.0,1965,3,-31.0,-41.0,-42.0
253239,1965-03-17,6335150,1650.0,317.0,1965,3,-88.0,-119.0,-129.0
253240,1965-03-18,6335150,2200.0,386.0,1965,3,-69.0,-157.0,-188.0
253241,1965-03-19,6335150,2300.0,397.0,1965,3,-11.0,-80.0,-168.0
253242,1965-03-20,6335150,2280.0,395.0,1965,3,2.0,-9.0,-78.0
253243,1965-03-21,6335150,2260.0,392.0,1965,3,3.0,5.0,-6.0
253244,1965-03-22,6335150,2410.0,409.0,1965,3,-17.0,-14.0,-12.0
253245,1965-03-23,6335150,2870.0,455.0,1965,3,-46.0,-63.0,-60.0
