,date,station_no,discharge,water_level,year,month,delta1,delta2,delta3
625464,1965-01-01,6335730,3.62,,1965,1,,,
625465,1965-01-02,6335730,4.16,,1965,1,,,
625466,1965-01-03,6335730,4.94,,1965,1,,,
625467,1965-01-04,6335730,5.58,,1965,1,,,
625468,1965-01-05,6335730,4.94,,1965,1,,,
625469,1965-01-06,6335730,4.54,,1965,1,,,
625470,1965-01-07,6335730,4.54,,1965,1,,,
625471,1965-01-08,6335730,4.74,,1965,1,,,
625472,1965-01-09,6335730,5.8,,1965,1,,,
625473,1965-01-10,6335730,6.5,,1965,1,,,
625474,1965-01-11,6335730,6.74,,1965,1,,,
625475,1965-01-12,6335730,5.8,,1965,1,,,
625476,1965-01-13,6335730,5.58,,1965,1,,,
625477,1965-01-14,6335730,5.58,,1965,1,,,
625478,1965-01-15,6335730,4.94,,1965,1,,,
625479,1965-01-16,6335730,4.74,,1965,1,,,
625480,1965-01-17,6335730,15.65,,1965,1,,,
625481,1965-01-18,6335730,29.35,,1965,1,,,
625482,1965-01-19,6335730,18.5,,1965,1,,,
625483,1965-01-20,6335730,13.65,,1965,1,,,
625484,1965-01-21,6335730,10.55,,1965,1,,,
625485,1965-01-22,6335730,8.54,,1965,1,,,
625486,1965-01-23,6335730,7.24,,1965,1,,,
625487,1965-01-24,6335730,6.5,,1965,1,,,
625488,1965-01-25,6335730,6.03,,1965,1,,,
625489,1965-01-26,6335730,5.58,,1965,1,,,
625490,1965-01-27,6335730,5.36,,1965,1,,,
625491,1965-01-28,6335730,5.15,,1965,1,,,
625492,1965-01-29,6335730,4.94,,1965,1,,,
625493,1965-01-30,6335730,6.74,,1965,1,,,
625494,1965-01-31,6335730,13.0,,1965,1,,,
625495,1965-02-01,6335730,19.25,,1965,2,,,
625496,1965-02-02,6335730,15.65,,1965,2,,,
625497,1965-02-03,6335730,12.35,,1965,2,,,
625498,1965-02-04,6335730,10.55,,1965,2,,,
625499,1965-02-05,6335730,9.08,,1965,2,,,
625500,1965-02-06,6335730,8.02,,1965,2,,,
625501,1965-02-07,6335730,7.24,,1965,2,,,
625502,1965-02-08,6335730,6.74,,1965,2,,,
625503,1965-02-09,6335730,5.8,,1965,2,,,
625504,1965-02-10,6335730,5.15,,1965,2,,,
625505,1965-02-11,6335730,5.15,,1965,2,,,
625506,1965-02-12,6335730,4.74,,1965,2,,,
625507,1965-02-13,6335730,4.34,,1965,2,,,
625508,1965-02-14,6335730,4.16,,1965,2,,,
625509,1965-02-15,6335730,3.97,,1965,2,,,
625510,1965-02-16,6335730,3.79,,1965,2,,,
625511,1965-02-17,6335730,3.44,,1965,2,,,
625512,1965-02-18,6335730,3.44,,1965,2,,,
625513,1965-02-19,6335730,3.44,,1965,2,,,
625514,1965-02-20,6335730,3.28,,1965,2,,,
625515,1965-02-21,6335730,2.96,,1965,2,,,
625516,1965-02-22,6335730,3.44,,1965,2,,,
625517,1965-02-23,6335730,3.12,,1965,2,,,
625518,1965-02-24,6335730,3.28,,1965,2,,,
625519,1965-02-25,6335730,3.12,,1965,2,,,
625520,1965-02-26,6335730,2.96,,1965,2,,,
625521,1965-02-27,6335730,2.81,,1965,2,,,
625522,1965-02-28,6335730,2.96,,1965,2,,,
625523,1965-03-01,6335730,2.96,,1965,3,,,
625524,1965-03-02,6335730,3.79,,1965,3,,,
625525,1965-03-03,6335730,3.28,,1965,3,,,
625526,1965-03-04,6335730,3.12,,1965,3,,,
625527,1965-03-05,6335730,3.12,,1965,3,,,
625528,1965-03-06,6335730,2.96,,1965,3,,,
625529,1965-03-07,6335730,2.81,,1965,3,,,
625530,1965-03-08,6335730,2.66,,1965,3,,,
625531,1965-03-09,6335730,2.66,,1965,3,,,
625532,1965-03-10,6335730,2.66,,1965,3,,,
625533,1965-03-11,6335730,2.96,,1965,3,,,
625534,1965-03-12,6335730,3.28,,1965,3,,,
625535,1965-03-13,6335730,3.62,,1965,3,,,
625536,1965-03-14,6335730,4.16,,1965,3,,,
625537,1965-03-15,6335730,6.26,,1965,3,,,
625538,1965-03-16,6335730,14.6,,1965,3,,,
625539,1965-03-17,6335730,18.1,,1965,3,,,
625540,1965-03-18,6335730,17.0,,1965,3,,,
625541,1965-03-19,6335730,17.75,,1965,3,,,
625542,1965-03-20,6335730,16.65,,1965,3,,,
625543,1965-03-21,6335730,51.9,,1965,3,,,
625544,1965-03-22,6335730,61.55,,1965,3,,,
625545,1965-03-23,6335730,55.45,,1965,3,,,
625546,1965-03-24,6335730,53.7,,1965,3,,,
625547,1965-03-25,6335730,47.35,,1965,3,,,
625548,1965-03-26,6335730,38.85,,1965,3,,,
625549,1965-03-27,6335730,31.15,,1965,3,,,
625550,1965-03-28,6335730,26.25,,1965,3,,,
625551,1965-03-29,6335730,24.55,,1965,3,,,
625552,1965-03-30,6335730,23.35,,1965,3,,,
625553,1965-03-31,6335730,22.9,,1965,3,,,
625554,1965-04-01,6335730,20.05,,1965,4,,,
625555,1965-04-02,6335730,17.75,,1965,4,,,
625556,1965-04-03,6335730,16.28,,1965,4,,,
625557,1965-04-04,6335730,15.9,,1965,4,,,
625558,1965-04-05,6335730,15.89,,1965,4,,,
625559,1965-04-06,6335730,15.17,,1965,4,,,
625560,1965-04-07,6335730,15.15,,1965,4,,,
625561,1965-04-08,6335730,14.1,,1965,4,,,
625562,1965-04-09,6335730,12.45,,1965,4,,,
625563,1965-04-10,6335730,10.85,,1965,4,,,
625564,1965-04-11,6335730,12.07,,1965,4,,,
625565,1965-04-12,6335730,11.73,,1965,4,,,
625566,1965-04-13,6335730,12.97,,1965,4,,,
625567,1965-04-14,6335730,11.05,,1965,4,,,
625568,1965-04-15,6335730,10.1,,1965,4,,,
625569,1965-04-16,6335730,21.2,,1965,4,,,
625570,1965-05-03,6335730,15.3,,1965,5,,,
625571,1965-05-04,6335730,22.9,,1965,5,,,
625572,1965-05-05,6335730,27.5,,1965,5,,,
625573,1965-05-06,6335730,33.5,,1965,5,,,
625574,1965-05-07,6335730,28.4,,1965,5,,,
625575,1965-05-08,6335730,26.65,,1965,5,,,
625576,1965-05-09,6335730,22.9,,1965,5,,,
625577,1965-05-10,6335730,20.3,,1965,5,,,
625578,1965-05-11,6335730,17.1,,1965,5,,,
625579,1965-05-12,6335730,14.6,,1965,5,,,
625580,1965-05-13,6335730,13.25,,1965,5,,,
625581,1965-05-14,6335730,11.95,,1965,5,,,
625582,1965-05-15,6335730,11.35,,1965,5,,,
625583,1965-05-16,6335730,11.35,,1965,5,,,
625584,1965-05-17,6335730,10.7,,1965,5,,,
625585,1965-05-18,6335730,11.0,,1965,5,,,
625586,1965-05-19,6335730,23.35,,1965,5,,,
625587,1965-05-20,6335730,20.3,,1965,5,,,
625588,1965-05-21,6335730,16.35,,1965,5,,,
625589,1965-05-22,6335730,13.6,,1965,5,,,
625590,1965-05-23,6335730,11.65,,1965,5,,,
625591,1965-05-24,6335730,10.4,,1965,5,,,
625592,1965-05-25,6335730,9.2,,1965,5,,,
625593,1965-05-26,6335730,8.33,,1965,5,,,
625594,1965-05-27,6335730,8.05,,1965,5,,,
625595,1965-05-28,6335730,8.33,,1965,5,,,
625596,1965-05-29,6335730,10.1,,1965,5,,,
625597,1965-05-30,6335730,9.2,,1965,5,,,
625598,1965-05-31,6335730,9.5,,1965,5,,,
625599,1965-06-01,6335730,9.5,,1965,6,,,
625600,1965-06-02,6335730,8.33,,1965,6,,,
625601,1965-06-03,6335730,8.05,,1965,6,,,
625602,1965-06-04,6335730,7.78,,1965,6,,,
625603,1965-06-05,6335730,11.0,,1965,6,,,
625604,1965-06-06,6335730,10.1,,1965,6,,,
625605,1965-06-07,6335730,8.9,,1965,6,,,
625606,1965-06-08,6335730,8.62,,1965,6,,,
625607,1965-06-09,6335730,8.33,,1965,6,,,
625608,1965-06-10,6335730,16.35,,1965,6,,,
625609,1965-06-11,6335730,18.95,,1965,6,,,
625610,1965-06-12,6335730,16.0,,1965,6,,,
625611,1965-06-13,6335730,13.6,,1965,6,,,
625612,1965-06-14,6335730,12.3,,1965,6,,,
625613,1965-06-15,6335730,10.1,,1965,6,,,
625614,1965-06-16,6335730,8.9,,1965,6,,,
625615,1965-06-17,6335730,13.25,,1965,6,,,
625616,1965-06-18,6335730,11.0,,1965,6,,,
625617,1965-06-19,6335730,9.2,,1965,6,,,
625618,1965-06-20,6335730,8.33,,1965,6,,,
625619,1965-06-21,6335730,8.05,,1965,6,,,
625620,1965-06-22,6335730,7.26,,1965,6,,,
625621,1965-06-23,6335730,6.34,,1965,6,,,
625622,1965-06-24,6335730,5.48,,1965,6,,,
625623,1965-06-25,6335730,5.07,,1965,6,,,
625624,1965-06-26,6335730,4.47,,1965,6,,,
625625,1965-06-27,6335730,4.27,,1965,6,,,
625626,1965-06-28,6335730,4.07,,1965,6,,,
625627,1965-06-29,6335730,3.5,,1965,6,,,
625628,1965-06-30,6335730,3.32,,1965,6,,,
625629,1965-07-01,6335730,3.32,,1965,7,,,
625630,1965-07-02,6335730,3.5,,1965,7,,,
625631,1965-07-03,6335730,2.82,,1965,7,,,
625632,1965-07-04,6335730,2.66,,1965,7,,,
625633,1965-07-05,6335730,2.82,,1965,7,,,
625634,1965-07-06,6335730,2.82,,1965,7,,,
625635,1965-07-07,6335730,2.66,,1965,7,,,
625636,1965-07-08,6335730,6.56,,1965,7,,,
625637,1965-07-09,6335730,4.87,,1965,7,,,
625638,1965-07-10,6335730,3.5,,1965,7,,,
625639,1965-07-11,6335730,3.32,,1965,7,,,
625640,1965-07-12,6335730,2.82,,1965,7,,,
625641,1965-07-13,6335730,2.5,,1965,7,,,
625642,1965-07-14,6335730,2.35,,1965,7,,,
625643,1965-07-15,6335730,1.93,,1965,7,,,
625644,1965-07-16,6335730,3.88,,1965,7,,,
625645,1965-07-17,6335730,4.67,,1965,7,,,
625646,1965-07-18,6335730,3.14,,1965,7,,,
625647,1965-07-19,6335730,2.66,,1965,7,,,
625648,1965-07-20,6335730,2.35,,1965,7,,,
625649,1965-07-21,6335730,2.5,,1965,7,,,
625650,1965-07-22,6335730,2.5,,1965,7,,,
625651,1965-07-23,6335730,2.66,,1965,7,,,
625652,1965-07-24,6335730,2.82,,1965,7,,,
625653,1965-07-25,6335730,2.5,,1965,7,,,
625654,1965-07-26,6335730,2.5,,1965,7,,,
625655,1965-07-27,6335730,3.14,,1965,7,,,
625656,1965-07-28,6335730,2.82,,1965,7,,,
625657,1965-07-29,6335730,2.35,,1965,7,,,
625658,1965-07-30,6335730,6.12,,1965,7,,,
625659,1965-07-31,6335730,10.4,,1965,7,,,
625660,1965-08-17,6335730,1.93,,1965,8,,,
625661,1965-08-18,6335730,1.93,,1965,8,,,
625662,1965-08-19,6335730,1.8,,1965,8,,,
625663,1965-08-20,6335730,1.69,,1965,8,,,
625664,1965-08-21,6335730,1.58,,1965,8,,,
625665,1965-08-22,6335730,1.38,,1965,8,,,
625666,1965-08-23,6335730,6.12,,1965,8,,,
625667,1965-08-24,6335730,5.9,,1965,8,,,
625668,1965-08-25,6335730,5.48,,1965,8,,,
625669,1965-08-26,6335730,4.67,,1965,8,,,
625670,1965-08-27,6335730,4.67,,1965,8,,,
625671,1965-08-28,6335730,7.78,,1965,8,,,
625672,1965-08-29,6335730,6.34,,1965,8,,,
625673,1965-08-30,6335730,5.69,,1965,8,,,
625674,1965-08-31,6335730,5.07,,1965,8,,,
625675,1965-09-01,6335730,5.48,,1965,9,,,
625676,1965-09-02,6335730,6.34,,1965,9,,,
625677,1965-09-03,6335730,5.48,,1965,9,,,
625678,1965-09-04,6335730,5.07,,1965,9,,,
625679,1965-09-05,6335730,5.07,,1965,9,,,
625680,1965-09-06,6335730,7.02,,1965,9,,,
625681,1965-09-07,6335730,8.9,,1965,9,,,
