,date,station_no,discharge,water_level,year,month,delta1,delta2,delta3
297840,1965-01-01,6335190,1.77,46.0,1965,1,,,
297841,1965-01-02,6335190,1.63,44.0,1965,1,2.0,,
297842,1965-01-03,6335190,1.49,42.0,1965,1,2.0,4.0,
297843,1965-01-04,6335190,1.42,41.0,1965,1,1.0,3.0,5.0
297844,1965-01-05,6335190,1.42,41.0,1965,1,0.0,1.0,3.0
297845,1965-01-06,6335190,1.49,42.0,1965,1,-1.0,-1.0,0.0
297846,1965-01-07,6335190,1.56,43.0,1965,1,-1.0,-2.0,-2.0
297847,1965-01-08,6335190,1.63,44.0,1965,1,-1.0,-2.0,-3.0
297848,1965-01-09,6335190,1.7,45.0,1965,1,-1.0,-2.0,-3.0
297849,1965-01-10,6335190,1.98,49.0,1965,1,-4.0,-5.0,-6.0
297850,1965-01-11,6335190,1.63,44.0,1965,1,5.0,1.0,0.0
297851,1965-01-12,6335190,1.7,45.0,1965,1,-1.0,4.0,0.0
297852,1965-01-13,6335190,1.7,45.0,1965,1,0.0,-1.0,4.0
297853,1965-01-14,6335190,1.77,46.0,1965,1,-1.0,-1.0,-2.0
297854,1965-01-15,6335190,1.7,45.0,1965,1,1.0,0.0,0.0
297855,1965-01-16,6335190,1.77,46.0,1965,1,-1.0,0.0,-1.0
297856,1965-01-17,6335190,2.48,55.0,1965,1,-9.0,-10.0,-9.0
297857,1965-01-18,6335190,2.56,56.0,1965,1,-1.0,-10.0,-11.0
297858,1965-01-19,6335190,2.48,55.0,1965,1,1.0,0.0,-9.0
297859,1965-01-20,6335190,2.39,54.0,1965,1,1.0,2.0,1.0
297860,1965-01-21,6335190,2.39,54.0,1965,1,0.0,1.0,2.0
297861,1965-01-22,6335190,2.22,52.0,1965,1,2.0,2.0,3.0
297862,1965-01-23,6335190,2.22,52.0,1965,1,0.0,2.0,2.0
297863,1965-01-24,6335190,2.05,50.0,1965,1,2.0,2.0,4.0
297864,1965-01-25,6335190,1.98,49.0,1965,1,1.0,3.0,3.0
297865,1965-01-26,6335190,2.31,53.0,1965,1,-4.0,-3.0,-1.0
297866,1965-01-27,6335190,2.22,52.0,1965,1,1.0,-3.0,-2.0
297867,1965-01-28,6335190,2.14,51.0,1965,1,1.0,2.0,-2.0
297868,1965-01-29,6335190,2.14,51.0,1965,1,0.0,1.0,2.0
297869,1965-01-30,6335190,2.56,56.0,1965,1,-5.0,-5.0,-4.0
297870,1965-01-31,6335190,3.28,64.0,1965,1,-8.0,-13.0,-13.0
297871,1965-02-01,6335190,2.9,60.0,1965,2,4.0,-4.0,-9.0
297872,1965-02-02,6335190,3.19,63.0,1965,2,-3.0,1.0,-7.0
297873,1965-02-03,6335190,3.19,63.0,1965,2,0.0,-3.0,1.0
297874,1965-02-04,6335190,3.28,64.0,1965,2,-1.0,-1.0,-4.0
297875,1965-02-05,6335190,3.38,65.0,1965,2,-1.0,-2.0,-2.0
