,date,station_no,discharge,water_level,year,month,delta1,delta2,delta3
402084,1965-01-01,6335350,105.0,,1965,1,,,
402085,1965-01-02,6335350,120.0,,1965,1,,,
402086,1965-01-03,6335350,89.0,,1965,1,,,
402087,1965-01-04,6335350,66.0,,1965,1,,,
402088,1965-01-05,6335350,50.5,,1965,1,,,
402089,1965-01-06,6335350,40.0,,1965,1,,,
402090,1965-01-07,6335350,39.6,,1965,1,,,
402091,1965-01-08,6335350,54.5,,1965,1,,,
402092,1965-01-09,6335350,112.0,,1965,1,,,
402093,1965-01-10,6335350,233.0,,1965,1,,,
402094,1965-01-11,6335350,276.0,,1965,1,,,
402095,1965-01-12,6335350,247.0,,1965,1,,,
402096,1965-01-13,6335350,173.0,,1965,1,,,
402097,1965-01-14,6335350,56.7,,1965,1,,,
402098,1965-01-15,6335350,98.0,,1965,1,,,
402099,1965-01-16,6335350,81.5,,1965,1,,,
402100,1965-01-17,6335350,139.0,,1965,1,,,
402101,1965-01-18,6335350,273.0,,1965,1,,,
402102,1965-01-19,6335350,276.0,,1965,1,,,
402103,1965-01-20,6335350,207.0,,1965,1,,,
402104,1965-01-21,6335350,143.0,,1965,1,,,
402105,1965-01-22,6335350,107.0,,1965,1,,,
402106,1965-01-23,6335350,73.5,,1965,1,,,
402107,1965-01-24,6335350,59.4,,1965,1,,,
402108,1965-01-25,6335350,55.6,,1965,1,,,
402109,1965-01-26,6335350,64.0,,1965,1,,,
402110,1965-01-27,6335350,66.0,,1965,1,,,
402111,1965-01-28,6335350,56.2,,1965,1,,,
402112,1965-01-29,6335350,48.5,,1965,1,,,
402113,1965-01-30,6335350,60.5,,1965,1,,,
402114,1965-01-31,6335350,103.0,,1965,1,,,
402115,1965-02-01,6335350,89.5,,1965,2,,,
402116,1965-02-02,6335350,71.0,,1965,2,,,
402117,1965-02-03,6335350,56.7,,1965,2,,,
402118,1965-02-04,6335350,50.5,,1965,2,,,
402119,1965-02-05,6335350,49.0,,1965,2,,,
402120,1965-02-06,6335350,53.0,,1965,2,,,
402121,1965-02-07,6335350,48.0,,1965,2,,,
402122,1965-02-08,6335350,48.5,,1965,2,,,
402123,1965-02-09,6335350,43.5,,1965,2,,,
402124,1965-02-10,6335350,35.5,,1965,2,,,
402125,1965-02-11,6335350,32.5,,1965,2,,,
402126,1965-02-12,6335350,32.0,,1965,2,,,
402127,1965-02-13,6335350,32.0,,1965,2,,,
402128,1965-02-14,6335350,44.5,,1965,2,,,
402129,1965-02-15,6335350,52.5,,1965,2,,,
402130,1965-02-16,6335350,48.5,,1965,2,,,
402131,1965-02-17,6335350,42.5,,1965,2,,,
402132,1965-02-18,6335350,36.4,,1965,2,,,
402133,1965-02-19,6335350,32.0,,1965,2,,,
402134,1965-02-20,6335350,27.8,,1965,2,,,
402135,1965-02-21,6335350,24.3,,1965,2,,,
402136,1965-02-22,6335350,22.0,,1965,2,,,
402137,1965-02-23,6335350,21.7,,1965,2,,,
402138,1965-02-24,6335350,20.7,,1965,2,,,
402139,1965-02-25,6335350,20.0,,1965,2,,,
402140,1965-02-26,6335350,19.0,,1965,2,,,
402141,1965-02-27,6335350,18.3,,1965,2,,,
402142,1965-02-28,6335350,17.0,,1965,2,,,
402143,1965-03-01,6335350,17.6,,1965,3,,,
402144,1965-03-02,6335350,17.6,,1965,3,,,
402145,1965-03-03,6335350,16.7,,1965,3,,,
402146,1965-03-04,6335350,15.2,,1965,3,,,
402147,1965-03-05,6335350,14.9,,1965,3,,,
402148,1965-03-06,6335350,13.6,,1965,3,,,
402149,1965-03-07,6335350,12.8,,1965,3,,,
402150,1965-03-08,6335350,12.3,,1965,3,,,
402151,1965-03-09,6335350,12.3,,1965,3,,,
402152,1965-03-10,6335350,12.3,,1965,3,,,
402153,1965-03-11,6335350,12.3,,1965,3,,,
402154,1965-03-12,6335350,12.3,,1965,3,,,
402155,1965-03-13,6335350,12.5,,1965,3,,,
402156,1965-03-14,6335350,14.1,,1965,3,,,
402157,1965-03-15,6335350,24.3,,1965,3,,,
402158,1965-03-16,6335350,91.5,,1965,3,,,
402159,1965-03-17,6335350,178.0,,1965,3,,,
402160,1965-03-18,6335350,169.0,,1965,3,,,
402161,1965-03-19,6335350,157.0,,1965,3,,,
402162,1965-03-20,6335350,135.0,,1965,3,,,
402163,1965-03-21,6335350,133.0,,1965,3,,,
402164,1965-03-22,6335350,132.0,,1965,3,,,
402165,1965-03-23,6335350,114.0,,1965,3,,,
402166,1965-03-24,6335350,105.0,,1965,3,,,
402167,1965-03-25,6335350,99.0,,1965,3,,,
402168,1965-03-26,6335350,135.0,,1965,3,,,
402169,1965-03-27,6335350,195.0,,1965,3,,,
402170,1965-03-28,6335350,173.0,,1965,3,,,
402171,1965-03-29,6335350,134.0,,1965,3,,,
402172,1965-03-30,6335350,103.0,,1965,3,,,
402173,1965-03-31,6335350,81.0,,1965,3,,,
402174,1965-04-01,6335350,62.5,,1965,4,,,
402175,1965-04-02,6335350,51.0,,1965,4,,,
402176,1965-04-03,6335350,40.5,,1965,4,,,
402177,1965-04-04,6335350,32.9,,1965,4,,,
402178,1965-04-05,6335350,29.9,,1965,4,,,
402179,1965-04-06,6335350,27.0,,1965,4,,,
402180,1965-04-07,6335350,24.3,,1965,4,,,
402181,1965-04-08,6335350,23.9,,1965,4,,,
402182,1965-04-09,6335350,23.6,,1965,4,,,
402183,1965-04-10,6335350,20.3,,1965,4,,,
402184,1965-04-11,6335350,18.3,,1965,4,,,
402185,1965-04-12,6335350,18.6,,1965,4,,,
402186,1965-04-13,6335350,23.2,,1965,4,,,
