date,station_no,discharge,water_level,year,month,delta1,delta2,delta3
1965-01-01,6335730,3.62,,1965,1,,,
1965-01-02,6335730,4.16,,1965,1,,,
1965-01-03,6335730,4.94,,1965,1,,,
1965-01-04,6335730,5.58,,1965,1,,,
1965-01-05,6335730,4.94,,1965,1,,,
1965-01-06,6335730,4.54,,1965,1,,,
1965-01-07,6335730,4.54,,1965,1,,,
1965-01-08,6335730,4.74,,1965,1,,,
1965-01-09,6335730,5.8,,1965,1,,,
1965-01-10,6335730,6.5,,1965,1,,,
1965-01-11,6335730,6.74,,1965,1,,,
1965-01-12,6335730,5.8,,1965,1,,,
1965-01-13,6335730,5.58,,1965,1,,,
1965-01-14,6335730,5.58,,1965,1,,,
1965-01-15,6335730,4.94,,1965,1,,,
1965-01-16,6335730,4.74,,1965,1,,,
1965-01-17,6335730,15.65,,1965,1,,,
1965-01-18,6335730,29.35,,1965,1,,,
1965-01-19,6335730,18.5,,1965,1,,,
1965-01-20,6335730,13.65,,1965,1,,,
1965-01-21,6335730,10.55,,1965,1,,,
1965-01-22,6335730,8.54,,1965,1,,,
1965-01-23,6335730,7.24,,1965,1,,,
1965-01-24,6335730,6.5,,1965,1,,,
1965-01-25,6335730,6.03,,1965,1,,,
1965-01-26,6335730,5.58,,1965,1,,,
1965-01-27,6335730,5.36,,1965,1,,,
1965-01-28,6335730,5.15,,1965,1,,,
1965-01-29,6335730,4.94,,1965,1,,,
1965-01-30,6335730,6.74,,1965,1,,,
1965-01-31,6335730,13.0,,1965,1,,,
1965-02-01,6335730,19.25,,1965,2,,,
1965-02-02,6335730,15.65,,1965,2,,,
1965-02-03,6335730,12.35,,1965,2,,,
1965-02-04,6335730,10.55,,1965,2,,,
1965-02-05,6335730,9.08,,1965,2,,,
1965-02-06,6335730,8.02,,1965,2,,,
1965-02-07,6335730,7.24,,1965,2,,,
1965-02-08,6335730,6.74,,1965,2,,,
1965-02-09,6335730,5.8,,1965,2,,,
1965-02-10,6335730,5.15,,1965,2,,,
1965-02-11,6335730,5.15,,1965,2,,,
1965-02-12,6335730,4.74,,1965,2,,,
1965-02-13,6335730,4.34,,1965,2,,,
1965-02-14,6335730,4.16,,1965,2,,,
1965-02-15,6335730,3.97,,1965,2,,,
1965-02-16,6335730,3.79,,1965,2,,,
1965-02-17,6335730,3.44,,1965,2,,,
1965-02-18,6335730,3.44,,1965,2,,,
1965-02-19,6335730,3.44,,1965,2,,,
1965-02-20,6335730,3.28,,1965,2,,,
1965-02-21,6335730,2.96,,1965,2,,,
1965-02-22,6335730,3.44,,1965,2,,,
1965-02-23,6335730,3.12,,1965,2,,,
1965-02-24,6335730,3.28,,1965,2,,,
1965-02-25,6335730,3.12,,1965,2,,,
1965-02-26,6335730,2.96,,1965,2,,,
1965-02-27,6335730,2.81,,1965,2,,,
1965-02-28,6335730,2.96,,1965,2,,,
1965-03-01,6335730,2.96,,1965,3,,,
1965-03-02,6335730,3.79,,1965,3,,,
1965-03-03,6335730,3.28,,1965,3,,,
1965-03-04,6335730,3.12,,1965,3,,,
1965-03-05,6335730,3.12,,1965,3,,,
1965-03-06,6335730,2.96,,1965,3,,,
1965-03-07,6335730,2.81,,1965,3,,,
1965-03-08,6335730,2.66,,1965,3,,,
1965-03-09,6335730,2.66,,1965,3,,,
1965-03-10,6335730,2.66,,1965,3,,,
1965-03-11,6335730,2.96,,1965,3,,,
1965-03-12,6335730,3.28,,1965,3,,,
1965-03-13,6335730,3.62,,1965,3,,,
1965-03-14,6335730,4.16,,1965,3,,,
