date,station_no,discharge,water_level,year,month,delta1,delta2,delta3
1965-01-01,6335640,0.71,18.0,1965,1,,,
1965-01-02,6335640,1.37,25.0,1965,1,-7.0,,
1965-01-03,6335640,1.04,22.0,1965,1,3.0,-4.0,
1965-01-04,6335640,1.04,22.0,1965,1,0.0,3.0,-4.0
1965-01-05,6335640,0.86,20.0,1965,1,2.0,2.0,5.0
1965-01-06,6335640,0.79,19.0,1965,1,1.0,3.0,3.0
1965-01-07,6335640,0.79,19.0,1965,1,0.0,1.0,3.0
1965-01-08,6335640,1.15,23.0,1965,1,-4.0,-4.0,-3.0
1965-01-09,6335640,1.88,29.0,1965,1,-6.0,-10.0,-10.0
1965-01-10,6335640,3.22,38.0,1965,1,-9.0,-15.0,-19.0
1965-01-11,6335640,2.6,34.0,1965,1,4.0,-5.0,-11.0
1965-01-12,6335640,2.01,30.0,1965,1,4.0,8.0,-1.0
1965-01-13,6335640,1.75,28.0,1965,1,2.0,6.0,10.0
1965-01-14,6335640,1.75,28.0,1965,1,0.0,2.0,6.0
1965-01-15,6335640,1.62,27.0,1965,1,1.0,1.0,3.0
1965-01-16,6335640,1.62,27.0,1965,1,0.0,1.0,1.0
1965-01-17,6335640,2.15,31.0,1965,1,-4.0,-4.0,-3.0
1965-01-18,6335640,3.69,41.0,1965,1,-10.0,-14.0,-14.0
1965-01-19,6335640,2.6,34.0,1965,1,7.0,-3.0,-7.0
1965-01-20,6335640,1.75,28.0,1965,1,6.0,13.0,3.0
1965-01-21,6335640,1.49,26.0,1965,1,2.0,8.0,15.0
1965-01-22,6335640,1.25,24.0,1965,1,2.0,4.0,10.0
1965-01-23,6335640,1.37,25.0,1965,1,-1.0,1.0,3.0
1965-01-24,6335640,1.25,24.0,1965,1,1.0,0.0,2.0
1965-01-25,6335640,1.15,23.0,1965,1,1.0,2.0,1.0
1965-01-26,6335640,1.25,24.0,1965,1,-1.0,0.0,1.0
1965-01-27,6335640,1.25,24.0,1965,1,0.0,-1.0,0.0
1965-01-28,6335640,1.37,25.0,1965,1,-1.0,-1.0,-2.0
1965-01-29,6335640,1.49,26.0,1965,1,-1.0,-2.0,-2.0
1965-01-30,6335640,2.15,31.0,1965,1,-5.0,-6.0,-7.0
1965-01-31,6335640,4.5,46.0,1965,1,-15.0,-20.0,-21.0
1965-02-01,6335640,4.68,47.0,1965,2,-1.0,-16.0,-21.0
1965-02-02,6335640,3.54,40.0,1965,2,7.0,6.0,-9.0
1965-02-03,6335640,3.06,37.0,1965,2,3.0,10.0,9.0
1965-02-04,6335640,2.6,34.0,1965,2,3.0,6.0,13.0
1965-02-05,6335640,2.53,34.0,1965,2,0.0,3.0,6.0
1965-02-06,6335640,2.24,33.0,1965,2,1.0,1.0,4.0
1965-02-07,6335640,1.81,31.0,1965,2,2.0,3.0,3.0
1965-02-08,6335640,1.44,29.0,1965,2,2.0,4.0,5.0
1965-02-09,6335640,1.21,28.0,1965,2,1.0,3.0,5.0
1965-02-10,6335640,1.05,27.0,1965,2,1.0,2.0,4.0
1965-02-11,6335640,1.05,27.0,1965,2,0.0,1.0,2.0
1965-02-12,6335640,0.96,26.0,1965,2,1.0,1.0,2.0
1965-02-13,6335640,1.15,28.0,1965,2,-2.0,-1.0,-1.0
1965-02-14,6335640,1.47,31.0,1965,2,-3.0,-5.0,-4.0
1965-02-15,6335640,1.35,30.0,1965,2,1.0,-2.0,-4.0
1965-02-16,6335640,1.25,29.0,1965,2,1.0,2.0,-1.0
1965-02-17,6335640,1.15,28.0,1965,2,1.0,2.0,3.0
1965-02-18,6335640,1.15,28.0,1965,2,0.0,1.0,2.0
1965-02-19,6335640,1.05,27.0,1965,2,1.0,1.0,2.0
1965-02-20,6335640,1.05,27.0,1965,2,0.0,1.0,1.0
1965-02-21,6335640,0.96,26.0,1965,2,1.0,1.0,2.0
1965-02-22,6335640,0.96,26.0,1965,2,0.0,1.0,1.0
1965-02-23,6335640,0.88,25.0,1965,2,1.0,1.0,2.0
1965-02-24,6335640,0.88,25.0,1965,2,0.0,1.0,1.0
1965-02-25,6335640,0.88,25.0,1965,2,0.0,0.0,1.0
1965-02-26,6335640,0.88,25.0,1965,2,0.0,0.0,0.0
1965-02-27,6335640,0.88,25.0,1965,2,0.0,0.0,0.0
1965-02-28,6335640,0.88,25.0,1965,2,0.0,0.0,0.0
1965-03-01,6335640,1.05,27.0,1965,3,-2.0,-2.0,-2.0
1965-03-02,6335640,0.96,26.0,1965,3,1.0,-1.0,-1.0
1965-03-03,6335640,0.96,26.0,1965,3,0.0,1.0,-1.0
1965-03-04,6335640,0.88,25.0,1965,3,1.0,1.0,2.0
1965-03-05,6335640,0.79,24.0,1965,3,1.0,2.0,2.0
1965-03-06,6335640,0.79,24.0,1965,3,0.0,1.0,2.0
1965-03-07,6335640,0.72,23.0,1965,3,1.0,1.0,2.0
1965-03-08,6335640,0.65,22.0,1965,3,1.0,2.0,2.0
1965-03-09,6335640,0.58,21.0,1965,3,1.0,2.0,3.0
1965-03-10,6335640,0.72,23.0,1965,3,-2.0,-1.0,0.0
1965-03-11,6335640,0.79,24.0,1965,3,-1.0,-3.0,-2.0
1965-03-12,6335640,0.88,25.0,1965,3,-1.0,-2.0,-4.0
1965-03-13,6335640,0.88,25.0,1965,3,0.0,-1.0,-2.0
1965-03-14,6335640,1.15,28.0,1965,3,-3.0,-3.0,-4.0
1965-03-15,6335640,3.21,43.0,1965,3,-15.0,-18.0,-18.0
1965-03-16,6335640,3.21,43.0,1965,3,0.0,-15.0,-18.0
1965-03-17,6335640,2.58,39.0,1965,3,4.0,4.0,-11.0
1965-03-18,6335640,2.13,36.0,1965,3,3.0,7.0,7.0
1965-03-19,6335640,1.85,34.0,1965,3,2.0,5.0,9.0
1965-03-20,6335640,1.72,33.0,1965,3,1.0,3.0,6.0
1965-03-21,6335640,3.85,47.0,1965,3,-14.0,-13.0,-11.0
1965-03-22,6335640,3.05,42.0,1965,3,5.0,-9.0,-8.0
1965-03-23,6335640,2.9,41.0,1965,3,1.0,6.0,-8.0
1965-03-24,6335640,2.74,40.0,1965,3,1.0,2.0,7.0
1965-03-25,6335640,3.37,44.0,1965,3,-4.0,-3.0,-2.0
1965-03-26,6335640,6.18,60.0,1965,3,-16.0,-20.0,-19.0
1965-03-27,6335640,4.17,49.0,1965,3,11.0,-5.0,-9.0
1965-03-28,6335640,3.21,43.0,1965,3,6.0,17.0,1.0
1965-03-29,6335640,2.58,39.0,1965,3,4.0,10.0,21.0
1965-03-30,6335640,2.28,37.0,1965,3,2.0,6.0,12.0
1965-03-31,6335640,1.99,35.0,1965,3,2.0,4.0,8.0
1965-04-01,6335640,1.85,34.0,1965,4,1.0,3.0,5.0
1965-04-02,6335640,1.59,32.0,1965,4,2.0,3.0,5.0
1965-04-03,6335640,1.59,32.0,1965,4,0.0,2.0,3.0
1965-04-04,6335640,1.59,32.0,1965,4,0.0,0.0,2.0
1965-04-05,6335640,1.59,32.0,1965,4,0.0,0.0,0.0
1965-04-06,6335640,1.59,32.0,1965,4,0.0,0.0,0.0
1965-04-07,6335640,1.85,34.0,1965,4,-2.0,-2.0,-2.0
1965-04-08,6335640,1.72,33.0,1965,4,1.0,-1.0,-1.0
1965-04-09,6335640,1.47,31.0,1965,4,2.0,3.0,1.0
1965-04-10,6335640,1.47,31.0,1965,4,0.0,2.0,3.0
1965-04-11,6335640,1.59,32.0,1965,4,-1.0,-1.0,1.0
1965-04-12,6335640,1.47,31.0,1965,4,1.0,0.0,0.0
1965-04-13,6335640,1.59,32.0,1965,4,-1.0,0.0,-1.0
1965-04-14,6335640,1.59,32.0,1965,4,0.0,-1.0,0.0
1965-04-15,6335640,1.47,31.0,1965,4,1.0,1.0,0.0
1965-04-16,6335640,2.58,39.0,1965,4,-8.0,-7.0,-7.0
1965-05-03,6335640,3.21,43.0,1965,5,-4.0,-12.0,-11.0
1965-05-04,6335640,3.53,45.0,1965,5,-2.0,-6.0,-14.0
1965-05-05,6335640,5.78,58.0,1965,5,-13.0,-15.0,-19.0
1965-05-06,6335640,6.6,62.0,1965,5,-4.0,-17.0,-19.0
1965-05-07,6335640,4.84,53.0,1965,5,9.0,5.0,-8.0
1965-05-08,6335640,5.2,55.0,1965,5,-2.0,7.0,3.0
1965-05-09,6335640,4.3,50.0,1965,5,5.0,3.0,12.0
1965-05-10,6335640,3.75,47.0,1965,5,3.0,8.0,6.0
1965-05-11,6335640,3.21,44.0,1965,5,3.0,6.0,11.0
1965-05-12,6335640,3.3,45.0,1965,5,-1.0,2.0,5.0
1965-05-13,6335640,2.47,40.0,1965,5,5.0,4.0,7.0
1965-05-14,6335640,2.41,40.0,1965,5,0.0,5.0,4.0
1965-05-15,6335640,2.21,39.0,1965,5,1.0,1.0,6.0
1965-05-16,6335640,2.18,39.0,1965,5,0.0,1.0,1.0
1965-05-17,6335640,2.33,40.0,1965,5,-1.0,-1.0,0.0
1965-05-18,6335640,2.47,41.0,1965,5,-1.0,-2.0,-2.0
1965-05-19,6335640,4.74,55.0,1965,5,-14.0,-15.0,-16.0
1965-05-20,6335640,3.38,47.0,1965,5,8.0,-6.0,-7.0
1965-05-21,6335640,2.92,44.0,1965,5,3.0,11.0,-3.0
1965-05-22,6335640,2.62,42.0,1965,5,2.0,5.0,13.0
1965-05-23,6335640,2.62,42.0,1965,5,0.0,2.0,5.0
1965-05-24,6335640,2.47,41.0,1965,5,1.0,1.0,3.0
1965-05-25,6335640,2.47,41.0,1965,5,0.0,1.0,1.0
1965-05-26,6335640,2.47,41.0,1965,5,0.0,0.0,1.0
1965-05-27,6335640,2.47,41.0,1965,5,0.0,0.0,0.0
1965-05-28,6335640,3.85,50.0,1965,5,-9.0,-9.0,-9.0
1965-05-29,6335640,3.22,46.0,1965,5,4.0,-5.0,-5.0
1965-05-30,6335640,2.92,44.0,1965,5,2.0,6.0,-3.0
1965-05-31,6335640,2.77,43.0,1965,5,1.0,3.0,7.0
1965-06-01,6335640,3.85,50.0,1965,6,-7.0,-6.0,-4.0
1965-06-02,6335640,2.92,44.0,1965,6,6.0,-1.0,0.0
1965-06-03,6335640,2.77,43.0,1965,6,1.0,7.0,0.0
1965-06-04,6335640,2.77,43.0,1965,6,0.0,1.0,7.0
1965-06-05,6335640,2.62,42.0,1965,6,1.0,1.0,2.0
1965-06-06,6335640,2.62,42.0,1965,6,0.0,1.0,1.0
1965-06-07,6335640,2.92,44.0,1965,6,-2.0,-2.0,-1.0
1965-06-08,6335640,3.22,46.0,1965,6,-2.0,-4.0,-4.0
1965-06-09,6335640,5.31,58.0,1965,6,-12.0,-14.0,-16.0
1965-06-10,6335640,10.0,79.0,1965,6,-21.0,-33.0,-35.0
1965-06-11,6335640,5.11,57.0,1965,6,22.0,1.0,-11.0
1965-06-12,6335640,3.85,50.0,1965,6,7.0,29.0,8.0
1965-06-13,6335640,3.54,48.0,1965,6,2.0,9.0,31.0
1965-06-14,6335640,3.38,47.0,1965,6,1.0,3.0,10.0
1965-06-15,6335640,2.92,44.0,1965,6,3.0,4.0,6.0
1965-06-16,6335640,2.62,42.0,1965,6,2.0,5.0,6.0
1965-06-17,6335640,4.55,54.0,1965,6,-12.0,-10.0,-7.0
1965-06-18,6335640,3.54,48.0,1965,6,6.0,-6.0,-4.0
1965-06-19,6335640,2.77,43.0,1965,6,5.0,11.0,-1.0
1965-06-20,6335640,2.33,40.0,1965,6,3.0,8.0,14.0
1965-06-21,6335640,3.22,46.0,1965,6,-6.0,-3.0,2.0
1965-06-22,6335640,5.7,60.0,1965,6,-14.0,-20.0,-17.0
1965-06-23,6335640,3.85,50.0,1965,6,10.0,-4.0,-10.0
1965-06-24,6335640,3.08,45.0,1965,6,5.0,15.0,1.0
1965-06-25,6335640,2.47,41.0,1965,6,4.0,9.0,19.0
1965-06-26,6335640,2.18,39.0,1965,6,2.0,6.0,11.0
1965-06-27,6335640,2.03,38.0,1965,6,1.0,3.0,7.0
1965-06-28,6335640,1.77,36.0,1965,6,2.0,3.0,5.0
1965-06-29,6335640,1.77,36.0,1965,6,0.0,2.0,3.0
1965-06-30,6335640,1.65,35.0,1965,6,1.0,1.0,3.0
1965-07-01,6335640,1.9,37.0,1965,7,-2.0,-1.0,-1.0
1965-07-02,6335640,1.77,36.0,1965,7,1.0,-1.0,0.0
1965-07-03,6335640,1.65,35.0,1965,7,1.0,2.0,0.0
1965-07-04,6335640,1.65,35.0,1965,7,0.0,1.0,2.0
1965-07-05,6335640,1.65,35.0,1965,7,0.0,0.0,1.0
1965-07-06,6335640,1.65,35.0,1965,7,0.0,0.0,0.0
1965-07-07,6335640,1.65,35.0,1965,7,0.0,0.0,0.0
1965-07-08,6335640,2.18,39.0,1965,7,-4.0,-4.0,-4.0
1965-07-09,6335640,2.03,38.0,1965,7,1.0,-3.0,-3.0
1965-07-10,6335640,1.9,37.0,1965,7,1.0,2.0,-2.0
1965-07-11,6335640,1.65,35.0,1965,7,2.0,3.0,4.0
1965-07-12,6335640,1.65,35.0,1965,7,0.0,2.0,3.0
1965-07-13,6335640,1.77,36.0,1965,7,-1.0,-1.0,1.0
1965-07-14,6335640,1.77,36.0,1965,7,0.0,-1.0,-1.0
1965-07-15,6335640,1.9,37.0,1965,7,-1.0,-1.0,-2.0
1965-07-16,6335640,5.7,60.0,1965,7,-23.0,-24.0,-24.0
1965-07-17,6335640,3.69,49.0,1965,7,11.0,-12.0,-13.0
1965-07-18,6335640,1.9,37.0,1965,7,12.0,23.0,0.0
1965-07-19,6335640,1.65,35.0,1965,7,2.0,14.0,25.0
1965-07-20,6335640,1.77,36.0,1965,7,-1.0,1.0,13.0
1965-07-21,6335640,1.9,37.0,1965,7,-1.0,-2.0,0.0
1965-07-22,6335640,1.53,34.0,1965,7,3.0,2.0,1.0
1965-07-23,6335640,1.31,32.0,1965,7,2.0,5.0,4.0
1965-07-24,6335640,1.2,31.0,1965,7,1.0,3.0,6.0
1965-07-25,6335640,1.1,30.0,1965,7,1.0,2.0,4.0
1965-07-26,6335640,1.1,30.0,1965,7,0.0,1.0,2.0
1965-07-27,6335640,1.2,31.0,1965,7,-1.0,-1.0,0.0
1965-07-28,6335640,1.1,30.0,1965,7,1.0,0.0,0.0
1965-07-29,6335640,1.1,30.0,1965,7,0.0,1.0,0.0
1965-07-30,6335640,1.42,33.0,1965,7,-3.0,-3.0,-2.0
1965-07-31,6335640,3.38,47.0,1965,7,-14.0,-17.0,-17.0
1965-08-17,6335640,1.77,36.0,1965,8,11.0,-3.0,-6.0
1965-08-18,6335640,1.9,37.0,1965,8,-1.0,10.0,-4.0
1965-08-19,6335640,1.9,37.0,1965,8,0.0,-1.0,10.0
1965-08-20,6335640,1.9,37.0,1965,8,0.0,0.0,-1.0
1965-08-21,6335640,1.9,37.0,1965,8,0.0,0.0,0.0
1965-08-22,6335640,2.62,42.0,1965,8,-5.0,-5.0,-5.0
1965-08-23,6335640,2.03,38.0,1965,8,4.0,-1.0,-1.0
1965-08-24,6335640,1.53,34.0,1965,8,4.0,8.0,3.0
1965-08-25,6335640,1.42,33.0,1965,8,1.0,5.0,9.0
1965-08-26,6335640,1.31,32.0,1965,8,1.0,2.0,6.0
1965-08-27,6335640,1.77,36.0,1965,8,-4.0,-3.0,-2.0
1965-08-28,6335640,1.31,32.0,1965,8,4.0,0.0,1.0
1965-08-29,6335640,1.31,32.0,1965,8,0.0,4.0,0.0
1965-08-30,6335640,1.1,30.0,1965,8,2.0,2.0,6.0
1965-08-31,6335640,1.0,29.0,1965,8,1.0,3.0,3.0
1965-09-01,6335640,1.1,30.0,1965,9,-1.0,0.0,2.0
1965-09-02,6335640,1.2,31.0,1965,9,-1.0,-2.0,-1.0
1965-09-03,6335640,1.31,32.0,1965,9,-1.0,-2.0,-3.0
1965-09-04,6335640,0.91,28.0,1965,9,4.0,3.0,2.0
1965-09-05,6335640,0.91,28.0,1965,9,0.0,4.0,3.0
1965-09-06,6335640,1.1,30.0,1965,9,-2.0,-2.0,2.0
1965-09-07,6335640,2.62,42.0,1965,9,-12.0,-14.0,-14.0
1965-09-08,6335640,1.0,29.0,1965,9,13.0,1.0,-1.0
1965-09-09,6335640,1.77,36.0,1965,9,-7.0,6.0,-6.0
1965-09-10,6335640,1.53,34.0,1965,9,2.0,-5.0,8.0
1965-09-11,6335640,1.2,31.0,1965,9,3.0,5.0,-2.0
1965-09-12,6335640,1.0,29.0,1965,9,2.0,5.0,7.0
1965-09-13,6335640,0.91,28.0,1965,9,1.0,3.0,6.0
1965-09-14,6335640,0.91,28.0,1965,9,0.0,1.0,3.0
1965-09-15,6335640,0.82,27.0,1965,9,1.0,1.0,2.0
1965-09-16,6335640,0.82,27.0,1965,9,0.0,1.0,1.0
1965-09-17,6335640,0.82,27.0,1965,9,0.0,0.0,1.0
1965-09-18,6335640,0.82,27.0,1965,9,0.0,0.0,0.0
1965-09-19,6335640,0.82,27.0,1965,9,0.0,0.0,0.0
1965-09-20,6335640,0.82,27.0,1965,9,0.0,0.0,0.0
