date,station_no,discharge,water_level,year,month,delta1,delta2,delta3
1965-01-01,6335030,281.0,,1965,1,,,
1965-01-02,6335030,229.0,,1965,1,,,
1965-01-03,6335030,167.0,,1965,1,,,
1965-01-04,6335030,124.0,,1965,1,,,
1965-01-05,6335030,99.2,,1965,1,,,
1965-01-06,6335030,88.6,,1965,1,,,
1965-01-07,6335030,111.0,,1965,1,,,
1965-01-08,6335030,145.0,,1965,1,,,
1965-01-09,6335030,284.0,,1965,1,,,
1965-01-10,6335030,419.0,,1965,1,,,
1965-01-11,6335030,427.0,,1965,1,,,
1965-01-12,6335030,296.0,,1965,1,,,
1965-01-13,6335030,209.0,,1965,1,,,
1965-01-14,6335030,176.0,,1965,1,,,
1965-01-15,6335030,145.0,,1965,1,,,
1965-01-16,6335030,124.0,,1965,1,,,
1965-01-17,6335030,184.0,,1965,1,,,
1965-01-18,6335030,329.0,,1965,1,,,
1965-01-19,6335030,316.0,,1965,1,,,
1965-01-20,6335030,233.0,,1965,1,,,
1965-01-21,6335030,170.0,,1965,1,,,
1965-01-22,6335030,133.0,,1965,1,,,
1965-01-23,6335030,114.0,,1965,1,,,
1965-01-24,6335030,91.2,,1965,1,,,
1965-01-25,6335030,72.7,,1965,1,,,
1965-01-26,6335030,95.7,,1965,1,,,
1965-01-27,6335030,88.6,,1965,1,,,
1965-01-28,6335030,86.0,,1965,1,,,
1965-01-29,6335030,77.5,,1965,1,,,
1965-01-30,6335030,75.0,,1965,1,,,
1965-01-31,6335030,76.6,,1965,1,,,
1965-02-01,6335030,55.3,,1965,2,,,
1965-02-02,6335030,56.6,,1965,2,,,
1965-02-03,6335030,48.4,,1965,2,,,
1965-02-04,6335030,49.4,,1965,2,,,
1965-02-05,6335030,52.6,,1965,2,,,
1965-02-06,6335030,56.6,,1965,2,,,
1965-02-07,6335030,51.3,,1965,2,,,
1965-02-08,6335030,47.0,,1965,2,,,
1965-02-09,6335030,52.0,,1965,2,,,
1965-02-10,6335030,46.5,,1965,2,,,
1965-02-11,6335030,48.4,,1965,2,,,
1965-02-12,6335030,48.4,,1965,2,,,
1965-02-13,6335030,55.9,,1965,2,,,
1965-02-14,6335030,83.4,,1965,2,,,
1965-02-15,6335030,93.0,,1965,2,,,
1965-02-16,6335030,96.6,,1965,2,,,
1965-02-17,6335030,85.1,,1965,2,,,
1965-02-18,6335030,74.2,,1965,2,,,
1965-02-19,6335030,56.6,,1965,2,,,
1965-02-20,6335030,57.3,,1965,2,,,
1965-02-21,6335030,42.0,,1965,2,,,
1965-02-22,6335030,40.2,,1965,2,,,
1965-02-23,6335030,41.5,,1965,2,,,
1965-02-24,6335030,39.8,,1965,2,,,
1965-02-25,6335030,37.2,,1965,2,,,
1965-02-26,6335030,36.4,,1965,2,,,
1965-02-27,6335030,32.3,,1965,2,,,
1965-02-28,6335030,30.3,,1965,2,,,
1965-03-01,6335030,28.1,,1965,3,,,
1965-03-02,6335030,32.7,,1965,3,,,
1965-03-03,6335030,29.6,,1965,3,,,
1965-03-04,6335030,24.8,,1965,3,,,
1965-03-05,6335030,24.5,,1965,3,,,
1965-03-06,6335030,23.8,,1965,3,,,
1965-03-07,6335030,23.1,,1965,3,,,
1965-03-08,6335030,21.6,,1965,3,,,
1965-03-09,6335030,19.8,,1965,3,,,
1965-03-10,6335030,23.4,,1965,3,,,
1965-03-11,6335030,22.7,,1965,3,,,
1965-03-12,6335030,22.3,,1965,3,,,
1965-03-13,6335030,23.1,,1965,3,,,
1965-03-14,6335030,26.6,,1965,3,,,
1965-03-15,6335030,37.2,,1965,3,,,
1965-03-16,6335030,97.5,,1965,3,,,
1965-03-17,6335030,168.0,,1965,3,,,
1965-03-18,6335030,159.0,,1965,3,,,
1965-03-19,6335030,159.0,,1965,3,,,
1965-03-20,6335030,151.0,,1965,3,,,
1965-03-21,6335030,149.0,,1965,3,,,
1965-03-22,6335030,143.0,,1965,3,,,
1965-03-23,6335030,144.0,,1965,3,,,
1965-03-24,6335030,156.0,,1965,3,,,
1965-03-25,6335030,150.0,,1965,3,,,
1965-03-26,6335030,173.0,,1965,3,,,
1965-03-27,6335030,219.0,,1965,3,,,
1965-03-28,6335030,234.0,,1965,3,,,
1965-03-29,6335030,222.0,,1965,3,,,
1965-03-30,6335030,198.0,,1965,3,,,
1965-03-31,6335030,158.0,,1965,3,,,
1965-04-01,6335030,133.0,,1965,4,,,
1965-04-02,6335030,106.0,,1965,4,,,
1965-04-03,6335030,90.4,,1965,4,,,
1965-04-04,6335030,70.3,,1965,4,,,
1965-04-05,6335030,63.6,,1965,4,,,
1965-04-06,6335030,57.3,,1965,4,,,
1965-04-07,6335030,55.3,,1965,4,,,
1965-04-08,6335030,52.6,,1965,4,,,
1965-04-09,6335030,53.3,,1965,4,,,
1965-04-10,6335030,49.4,,1965,4,,,
1965-04-11,6335030,38.5,,1965,4,,,
1965-04-12,6335030,40.7,,1965,4,,,
1965-04-13,6335030,48.4,,1965,4,,,
1965-04-14,6335030,44.2,,1965,4,,,
1965-04-15,6335030,41.1,,1965,4,,,
1965-04-16,6335030,58.0,,1965,4,,,
1965-05-03,6335030,176.0,,1965,5,,,
1965-05-04,6335030,146.0,,1965,5,,,
1965-05-05,6335030,163.0,,1965,5,,,
1965-05-06,6335030,190.0,,1965,5,,,
1965-05-07,6335030,190.0,,1965,5,,,
1965-05-08,6335030,212.0,,1965,5,,,
1965-05-09,6335030,260.0,,1965,5,,,
1965-05-10,6335030,367.0,,1965,5,,,
1965-05-11,6335030,354.0,,1965,5,,,
1965-05-12,6335030,260.0,,1965,5,,,
1965-05-13,6335030,192.0,,1965,5,,,
1965-05-14,6335030,150.0,,1965,5,,,
1965-05-15,6335030,115.0,,1965,5,,,
1965-05-16,6335030,98.4,,1965,5,,,
1965-05-17,6335030,91.2,,1965,5,,,
1965-05-18,6335030,87.7,,1965,5,,,
1965-05-19,6335030,78.3,,1965,5,,,
1965-05-20,6335030,65.1,,1965,5,,,
1965-05-21,6335030,57.3,,1965,5,,,
1965-05-22,6335030,52.6,,1965,5,,,
1965-05-23,6335030,38.5,,1965,5,,,
1965-05-24,6335030,34.7,,1965,5,,,
1965-05-25,6335030,40.7,,1965,5,,,
1965-05-26,6335030,37.2,,1965,5,,,
1965-05-27,6335030,42.4,,1965,5,,,
1965-05-28,6335030,31.1,,1965,5,,,
1965-05-29,6335030,33.5,,1965,5,,,
1965-05-30,6335030,33.1,,1965,5,,,
1965-05-31,6335030,31.9,,1965,5,,,
1965-06-01,6335030,33.9,,1965,6,,,
1965-06-02,6335030,30.0,,1965,6,,,
1965-06-03,6335030,27.7,,1965,6,,,
1965-06-04,6335030,23.8,,1965,6,,,
1965-06-05,6335030,21.3,,1965,6,,,
1965-06-06,6335030,21.6,,1965,6,,,
1965-06-07,6335030,35.0,,1965,6,,,
1965-06-08,6335030,27.7,,1965,6,,,
1965-06-09,6335030,46.5,,1965,6,,,
1965-06-10,6335030,95.9,,1965,6,,,
1965-06-11,6335030,101.0,,1965,6,,,
1965-06-12,6335030,87.7,,1965,6,,,
1965-06-13,6335030,92.1,,1965,6,,,
1965-06-14,6335030,101.0,,1965,6,,,
1965-06-15,6335030,103.0,,1965,6,,,
1965-06-16,6335030,95.7,,1965,6,,,
1965-06-17,6335030,184.0,,1965,6,,,
1965-06-18,6335030,260.0,,1965,6,,,
1965-06-19,6335030,238.0,,1965,6,,,
1965-06-20,6335030,190.0,,1965,6,,,
1965-06-21,6335030,156.0,,1965,6,,,
1965-06-22,6335030,147.0,,1965,6,,,
1965-06-23,6335030,125.0,,1965,6,,,
1965-06-24,6335030,106.0,,1965,6,,,
1965-06-25,6335030,84.2,,1965,6,,,
1965-06-26,6335030,64.4,,1965,6,,,
1965-06-27,6335030,53.3,,1965,6,,,
1965-06-28,6335030,42.0,,1965,6,,,
1965-06-29,6335030,42.0,,1965,6,,,
1965-06-30,6335030,35.5,,1965,6,,,
1965-07-01,6335030,38.1,,1965,7,,,
1965-07-02,6335030,31.9,,1965,7,,,
1965-07-03,6335030,30.0,,1965,7,,,
1965-07-04,6335030,25.2,,1965,7,,,
1965-07-05,6335030,23.4,,1965,7,,,
1965-07-06,6335030,32.7,,1965,7,,,
1965-07-07,6335030,30.3,,1965,7,,,
1965-07-08,6335030,31.5,,1965,7,,,
1965-07-09,6335030,36.0,,1965,7,,,
1965-07-10,6335030,34.3,,1965,7,,,
1965-07-11,6335030,36.4,,1965,7,,,
1965-07-12,6335030,45.1,,1965,7,,,
1965-07-13,6335030,122.0,,1965,7,,,
1965-07-14,6335030,121.0,,1965,7,,,
1965-07-15,6335030,149.0,,1965,7,,,
1965-07-16,6335030,229.0,,1965,7,,,
1965-07-17,6335030,478.0,,1965,7,,,
1965-07-18,6335030,536.0,,1965,7,,,
1965-07-19,6335030,402.0,,1965,7,,,
1965-07-20,6335030,268.0,,1965,7,,,
1965-07-21,6335030,256.0,,1965,7,,,
1965-07-22,6335030,289.0,,1965,7,,,
1965-07-23,6335030,281.0,,1965,7,,,
1965-07-24,6335030,253.0,,1965,7,,,
1965-07-25,6335030,203.0,,1965,7,,,
1965-07-26,6335030,170.0,,1965,7,,,
1965-07-27,6335030,140.0,,1965,7,,,
1965-07-28,6335030,120.0,,1965,7,,,
1965-07-29,6335030,102.0,,1965,7,,,
1965-07-30,6335030,93.9,,1965,7,,,
1965-07-31,6335030,124.0,,1965,7,,,
1965-08-17,6335030,47.0,,1965,8,,,
