date,station_no,discharge,water_level,year,month,delta1,delta2,delta3
1965-01-01,6335400,518.0,,1965,1,,,
1965-01-02,6335400,589.0,,1965,1,,,
1965-01-03,6335400,621.0,,1965,1,,,
1965-01-04,6335400,577.0,,1965,1,,,
1965-01-05,6335400,549.0,,1965,1,,,
1965-01-06,6335400,533.0,,1965,1,,,
1965-01-07,6335400,530.0,,1965,1,,,
1965-01-08,6335400,549.0,,1965,1,,,
1965-01-09,6335400,564.0,,1965,1,,,
1965-01-10,6335400,627.0,,1965,1,,,
1965-01-11,6335400,634.0,,1965,1,,,
1965-01-12,6335400,595.0,,1965,1,,,
1965-01-13,6335400,568.0,,1965,1,,,
1965-01-14,6335400,580.0,,1965,1,,,
1965-01-15,6335400,574.0,,1965,1,,,
1965-01-16,6335400,543.0,,1965,1,,,
1965-01-17,6335400,637.0,,1965,1,,,
1965-01-18,6335400,963.0,,1965,1,,,
1965-01-19,6335400,816.0,,1965,1,,,
1965-01-20,6335400,725.0,,1965,1,,,
1965-01-21,6335400,680.0,,1965,1,,,
1965-01-22,6335400,673.0,,1965,1,,,
1965-01-23,6335400,656.0,,1965,1,,,
1965-01-24,6335400,634.0,,1965,1,,,
1965-01-25,6335400,631.0,,1965,1,,,
1965-01-26,6335400,619.0,,1965,1,,,
1965-01-27,6335400,616.0,,1965,1,,,
1965-01-28,6335400,613.0,,1965,1,,,
1965-01-29,6335400,606.0,,1965,1,,,
1965-01-30,6335400,610.0,,1965,1,,,
1965-01-31,6335400,616.0,,1965,1,,,
1965-02-01,6335400,764.0,,1965,2,,,
1965-02-02,6335400,837.0,,1965,2,,,
1965-02-03,6335400,732.0,,1965,2,,,
1965-02-04,6335400,690.0,,1965,2,,,
1965-02-05,6335400,683.0,,1965,2,,,
1965-02-06,6335400,659.0,,1965,2,,,
1965-02-07,6335400,644.0,,1965,2,,,
1965-02-08,6335400,641.0,,1965,2,,,
1965-02-09,6335400,619.0,,1965,2,,,
1965-02-10,6335400,610.0,,1965,2,,,
1965-02-11,6335400,600.0,,1965,2,,,
1965-02-12,6335400,597.0,,1965,2,,,
1965-02-13,6335400,582.0,,1965,2,,,
1965-02-14,6335400,579.0,,1965,2,,,
1965-02-15,6335400,582.0,,1965,2,,,
1965-02-16,6335400,569.0,,1965,2,,,
1965-02-17,6335400,566.0,,1965,2,,,
1965-02-18,6335400,579.0,,1965,2,,,
1965-02-19,6335400,575.0,,1965,2,,,
1965-02-20,6335400,549.0,,1965,2,,,
1965-02-21,6335400,537.0,,1965,2,,,
1965-02-22,6335400,549.0,,1965,2,,,
1965-02-23,6335400,528.0,,1965,2,,,
1965-02-24,6335400,520.0,,1965,2,,,
1965-02-25,6335400,520.0,,1965,2,,,
1965-02-26,6335400,505.0,,1965,2,,,
1965-02-27,6335400,491.0,,1965,2,,,
1965-02-28,6335400,485.0,,1965,2,,,
1965-03-01,6335400,491.0,,1965,3,,,
1965-03-02,6335400,499.0,,1965,3,,,
1965-03-03,6335400,502.0,,1965,3,,,
1965-03-04,6335400,499.0,,1965,3,,,
1965-03-05,6335400,499.0,,1965,3,,,
1965-03-06,6335400,496.0,,1965,3,,,
1965-03-07,6335400,488.0,,1965,3,,,
1965-03-08,6335400,496.0,,1965,3,,,
1965-03-09,6335400,482.0,,1965,3,,,
1965-03-10,6335400,471.0,,1965,3,,,
1965-03-11,6335400,468.0,,1965,3,,,
1965-03-12,6335400,488.0,,1965,3,,,
1965-03-13,6335400,493.0,,1965,3,,,
