date,station_no,discharge,water_level,year,month,delta1,delta2,delta3
1965-01-01,6335710,9.64,42.0,1965,1,,,
1965-01-02,6335710,19.99,65.0,1965,1,-23.0,,
1965-01-03,6335710,14.27,53.0,1965,1,12.0,-11.0,
1965-01-04,6335710,13.38,51.0,1965,1,2.0,14.0,-9.0
1965-01-05,6335710,12.51,49.0,1965,1,2.0,4.0,16.0
1965-01-06,6335710,10.43,44.0,1965,1,5.0,7.0,9.0
1965-01-07,6335710,12.51,49.0,1965,1,-5.0,0.0,2.0
1965-01-08,6335710,16.59,58.0,1965,1,-9.0,-14.0,-9.0
1965-01-09,6335710,16.59,58.0,1965,1,0.0,-9.0,-14.0
1965-01-10,6335710,23.53,72.0,1965,1,-14.0,-14.0,-23.0
1965-01-11,6335710,32.86,89.0,1965,1,-17.0,-31.0,-31.0
1965-01-12,6335710,23.02,71.0,1965,1,18.0,1.0,-13.0
1965-01-13,6335710,19.99,65.0,1965,1,6.0,24.0,7.0
1965-01-14,6335710,22.0,69.0,1965,1,-4.0,2.0,20.0
1965-01-15,6335710,19.99,65.0,1965,1,4.0,0.0,6.0
1965-01-16,6335710,14.73,54.0,1965,1,11.0,15.0,11.0
1965-01-17,6335710,36.43,95.0,1965,1,-41.0,-30.0,-26.0
1965-01-18,6335710,52.91,120.0,1965,1,-25.0,-66.0,-55.0
1965-01-19,6335710,38.89,99.0,1965,1,21.0,-4.0,-45.0
1965-01-20,6335710,30.56,85.0,1965,1,14.0,35.0,10.0
1965-01-21,6335710,26.7,78.0,1965,1,7.0,21.0,42.0
1965-01-22,6335710,26.16,77.0,1965,1,1.0,8.0,22.0
1965-01-23,6335710,16.59,58.0,1965,1,19.0,20.0,27.0
1965-01-24,6335710,13.82,52.0,1965,1,6.0,25.0,26.0
1965-01-25,6335710,22.5,70.0,1965,1,-18.0,-12.0,7.0
1965-01-26,6335710,17.07,59.0,1965,1,11.0,-7.0,-1.0
1965-01-27,6335710,16.12,57.0,1965,1,2.0,13.0,-5.0
1965-01-28,6335710,15.65,56.0,1965,1,1.0,3.0,14.0
1965-01-29,6335710,15.65,56.0,1965,1,0.0,1.0,3.0
1965-01-30,6335710,18.52,62.0,1965,1,-6.0,-6.0,-5.0
1965-01-31,6335710,45.33,109.0,1965,1,-47.0,-53.0,-53.0
1965-02-01,6335710,52.91,120.0,1965,2,-11.0,-58.0,-64.0
1965-02-02,6335710,35.22,93.0,1965,2,27.0,16.0,-31.0
1965-02-03,6335710,32.28,88.0,1965,2,5.0,32.0,21.0
1965-02-04,6335710,24.05,73.0,1965,2,15.0,20.0,47.0
1965-02-05,6335710,24.57,74.0,1965,2,-1.0,14.0,19.0
1965-02-06,6335710,19.0,63.0,1965,2,11.0,10.0,25.0
1965-02-07,6335710,16.12,57.0,1965,2,6.0,17.0,16.0
1965-02-08,6335710,19.99,65.0,1965,2,-8.0,-2.0,9.0
1965-02-09,6335710,16.12,57.0,1965,2,8.0,0.0,6.0
1965-02-10,6335710,16.12,57.0,1965,2,0.0,8.0,0.0
1965-02-11,6335710,16.12,57.0,1965,2,0.0,0.0,8.0
1965-02-12,6335710,16.12,57.0,1965,2,0.0,0.0,0.0
1965-02-13,6335710,14.73,54.0,1965,2,3.0,3.0,3.0
1965-02-14,6335710,12.94,50.0,1965,2,4.0,7.0,7.0
1965-02-15,6335710,14.73,54.0,1965,2,-4.0,0.0,3.0
1965-02-16,6335710,14.73,54.0,1965,2,0.0,-4.0,0.0
1965-02-17,6335710,14.73,54.0,1965,2,0.0,0.0,-4.0
1965-02-18,6335710,15.19,55.0,1965,2,-1.0,-1.0,-1.0
1965-02-19,6335710,13.82,52.0,1965,2,3.0,2.0,2.0
1965-02-20,6335710,11.66,47.0,1965,2,5.0,8.0,7.0
1965-02-21,6335710,10.03,43.0,1965,2,4.0,9.0,12.0
1965-02-22,6335710,11.24,46.0,1965,2,-3.0,1.0,6.0
1965-02-23,6335710,11.66,47.0,1965,2,-1.0,-4.0,0.0
1965-02-24,6335710,11.66,47.0,1965,2,0.0,-1.0,-4.0
1965-02-25,6335710,11.66,47.0,1965,2,0.0,0.0,-1.0
1965-02-26,6335710,12.08,48.0,1965,2,-1.0,-1.0,-1.0
1965-02-27,6335710,10.03,43.0,1965,2,5.0,4.0,4.0
1965-02-28,6335710,8.5,39.0,1965,2,4.0,9.0,8.0
1965-03-01,6335710,9.25,41.0,1965,3,-2.0,2.0,7.0
1965-03-02,6335710,8.5,39.0,1965,3,2.0,0.0,4.0
1965-03-03,6335710,8.87,40.0,1965,3,-1.0,1.0,-1.0
1965-03-04,6335710,9.64,42.0,1965,3,-2.0,-3.0,-1.0
1965-03-05,6335710,10.03,43.0,1965,3,-1.0,-3.0,-4.0
1965-03-06,6335710,8.87,40.0,1965,3,3.0,2.0,0.0
1965-03-07,6335710,7.77,37.0,1965,3,3.0,6.0,5.0
1965-03-08,6335710,8.87,40.0,1965,3,-3.0,0.0,3.0
1965-03-09,6335710,9.25,41.0,1965,3,-1.0,-4.0,-1.0
1965-03-10,6335710,9.25,41.0,1965,3,0.0,-1.0,-4.0
1965-03-11,6335710,8.87,40.0,1965,3,1.0,1.0,0.0
1965-03-12,6335710,8.87,40.0,1965,3,0.0,1.0,1.0
1965-03-13,6335710,8.5,39.0,1965,3,1.0,1.0,2.0
1965-03-14,6335710,7.42,36.0,1965,3,3.0,4.0,4.0
1965-03-15,6335710,10.83,45.0,1965,3,-9.0,-6.0,-5.0
1965-03-16,6335710,20.49,66.0,1965,3,-21.0,-30.0,-27.0
1965-03-17,6335710,27.24,79.0,1965,3,-13.0,-34.0,-43.0
1965-03-18,6335710,20.99,67.0,1965,3,12.0,-1.0,-22.0
1965-03-19,6335710,27.24,79.0,1965,3,-12.0,0.0,-13.0
1965-03-20,6335710,28.33,81.0,1965,3,-2.0,-14.0,-2.0
1965-03-21,6335710,113.2,187.0,1965,3,-106.0,-108.0,-120.0
1965-03-22,6335710,84.95,159.0,1965,3,28.0,-78.0,-80.0
1965-03-23,6335710,57.27,126.0,1965,3,33.0,61.0,-45.0
1965-03-24,6335710,66.57,138.0,1965,3,-12.0,21.0,49.0
1965-03-25,6335710,84.95,159.0,1965,3,-21.0,-33.0,0.0
1965-03-26,6335710,84.01,158.0,1965,3,1.0,-20.0,-32.0
1965-03-27,6335710,70.7,143.0,1965,3,15.0,16.0,-5.0
1965-03-28,6335710,50.79,117.0,1965,3,26.0,41.0,42.0
1965-03-29,6335710,46.67,111.0,1965,3,6.0,32.0,47.0
1965-03-30,6335710,44.01,107.0,1965,3,4.0,10.0,36.0
1965-03-31,6335710,40.78,102.0,1965,3,5.0,9.0,15.0
1965-04-01,6335710,34.62,92.0,1965,4,10.0,15.0,19.0
1965-04-02,6335710,32.28,88.0,1965,4,4.0,14.0,19.0
1965-04-03,6335710,24.05,73.0,1965,4,15.0,19.0,29.0
1965-04-04,6335710,23.53,72.0,1965,4,1.0,16.0,20.0
1965-04-05,6335710,34.62,92.0,1965,4,-20.0,-19.0,-4.0
1965-04-06,6335710,28.88,82.0,1965,4,10.0,-10.0,-9.0
1965-04-07,6335710,30.56,85.0,1965,4,-3.0,7.0,-13.0
1965-04-08,6335710,28.88,82.0,1965,4,3.0,0.0,10.0
1965-04-09,6335710,25.1,75.0,1965,4,7.0,10.0,7.0
1965-04-10,6335710,17.07,59.0,1965,4,16.0,23.0,26.0
1965-04-11,6335710,18.52,62.0,1965,4,-3.0,13.0,20.0
1965-04-12,6335710,31.13,86.0,1965,4,-24.0,-27.0,-11.0
