date,station_no,discharge,water_level,year,month,delta1,delta2,delta3
1965-01-01,6335076,12.1,95.0,1965,1,,,
1965-01-02,6335076,11.5,93.0,1965,1,2.0,,
1965-01-03,6335076,11.0,91.0,1965,1,2.0,4.0,
1965-01-04,6335076,9.63,85.0,1965,1,6.0,8.0,10.0
1965-01-05,6335076,7.91,77.0,1965,1,8.0,14.0,16.0
1965-01-06,6335076,7.11,73.0,1965,1,4.0,12.0,18.0
1965-01-07,6335076,16.0,109.0,1965,1,-36.0,-32.0,-24.0
1965-01-08,6335076,32.7,158.0,1965,1,-49.0,-85.0,-81.0
1965-01-09,6335076,53.6,204.0,1965,1,-46.0,-95.0,-131.0
1965-01-10,6335076,84.1,240.0,1965,1,-36.0,-82.0,-131.0
1965-01-11,6335076,82.2,238.0,1965,1,2.0,-34.0,-80.0
1965-01-12,6335076,43.3,184.0,1965,1,54.0,56.0,20.0
1965-01-13,6335076,28.9,150.0,1965,1,34.0,88.0,90.0
1965-01-14,6335076,21.8,131.0,1965,1,19.0,53.0,107.0
1965-01-15,6335076,17.4,118.0,1965,1,13.0,32.0,66.0
1965-01-16,6335076,14.9,110.0,1965,1,8.0,21.0,40.0
1965-01-17,6335076,21.4,130.0,1965,1,-20.0,-12.0,1.0
1965-01-18,6335076,32.9,160.0,1965,1,-30.0,-50.0,-42.0
1965-01-19,6335076,25.8,142.0,1965,1,18.0,-12.0,-32.0
1965-01-20,6335076,20.0,126.0,1965,1,16.0,34.0,4.0
1965-01-21,6335076,15.5,112.0,1965,1,14.0,30.0,48.0
1965-01-22,6335076,12.3,101.0,1965,1,11.0,25.0,41.0
1965-01-23,6335076,10.7,95.0,1965,1,6.0,17.0,31.0
1965-01-24,6335076,9.9,92.0,1965,1,3.0,9.0,20.0
1965-01-25,6335076,10.1,93.0,1965,1,-1.0,2.0,8.0
1965-01-26,6335076,11.5,98.0,1965,1,-5.0,-6.0,-3.0
1965-01-27,6335076,11.7,99.0,1965,1,-1.0,-6.0,-7.0
1965-01-28,6335076,11.2,97.0,1965,1,2.0,1.0,-4.0
1965-01-29,6335076,11.5,98.0,1965,1,-1.0,1.0,0.0
1965-01-30,6335076,12.8,103.0,1965,1,-5.0,-6.0,-4.0
1965-01-31,6335076,19.0,123.0,1965,1,-20.0,-25.0,-26.0
1965-02-01,6335076,18.3,121.0,1965,2,2.0,-18.0,-23.0
1965-02-02,6335076,15.2,111.0,1965,2,10.0,12.0,-8.0
1965-02-03,6335076,12.3,101.0,1965,2,10.0,20.0,22.0
1965-02-04,6335076,11.2,97.0,1965,2,4.0,14.0,24.0
1965-02-05,6335076,12.8,103.0,1965,2,-6.0,-2.0,8.0
1965-02-06,6335076,14.9,110.0,1965,2,-7.0,-13.0,-9.0
1965-02-07,6335076,13.7,106.0,1965,2,4.0,-3.0,-9.0
1965-02-08,6335076,12.3,101.0,1965,2,5.0,9.0,2.0
1965-02-09,6335076,10.7,95.0,1965,2,6.0,11.0,15.0
1965-02-10,6335076,8.68,87.0,1965,2,8.0,14.0,19.0
1965-02-11,6335076,7.98,84.0,1965,2,3.0,11.0,17.0
1965-02-12,6335076,7.54,82.0,1965,2,2.0,5.0,13.0
1965-02-13,6335076,8.21,85.0,1965,2,-3.0,-1.0,2.0
1965-02-14,6335076,12.3,101.0,1965,2,-16.0,-19.0,-17.0
1965-02-15,6335076,14.9,110.0,1965,2,-9.0,-25.0,-28.0
1965-02-16,6335076,13.4,105.0,1965,2,5.0,-4.0,-20.0
1965-02-17,6335076,11.2,97.0,1965,2,8.0,13.0,4.0
1965-02-18,6335076,9.4,90.0,1965,2,7.0,15.0,20.0
1965-02-19,6335076,7.76,83.0,1965,2,7.0,14.0,22.0
1965-02-20,6335076,7.32,81.0,1965,2,2.0,9.0,16.0
1965-02-21,6335076,6.27,76.0,1965,2,5.0,7.0,14.0
1965-02-22,6335076,5.48,72.0,1965,2,4.0,9.0,11.0
1965-02-23,6335076,5.29,71.0,1965,2,1.0,5.0,10.0
1965-02-24,6335076,5.29,71.0,1965,2,0.0,1.0,5.0
1965-02-25,6335076,4.91,69.0,1965,2,2.0,2.0,3.0
1965-02-26,6335076,4.73,68.0,1965,2,1.0,3.0,3.0
1965-02-27,6335076,4.73,68.0,1965,2,0.0,1.0,3.0
1965-02-28,6335076,4.55,67.0,1965,2,1.0,1.0,2.0
1965-03-01,6335076,3.84,63.0,1965,3,4.0,5.0,5.0
1965-03-02,6335076,4.91,69.0,1965,3,-6.0,-2.0,-1.0
1965-03-03,6335076,4.37,66.0,1965,3,3.0,-3.0,1.0
1965-03-04,6335076,3.67,62.0,1965,3,4.0,7.0,1.0
1965-03-05,6335076,3.67,62.0,1965,3,0.0,4.0,7.0
1965-03-06,6335076,3.33,60.0,1965,3,2.0,2.0,6.0
1965-03-07,6335076,3.0,58.0,1965,3,2.0,4.0,4.0
1965-03-08,6335076,2.68,56.0,1965,3,2.0,4.0,6.0
1965-03-09,6335076,2.68,56.0,1965,3,0.0,2.0,4.0
1965-03-10,6335076,2.84,57.0,1965,3,-1.0,-1.0,1.0
1965-03-11,6335076,2.84,57.0,1965,3,0.0,-1.0,-1.0
1965-03-12,6335076,3.0,58.0,1965,3,-1.0,-1.0,-2.0
1965-03-13,6335076,3.67,62.0,1965,3,-4.0,-5.0,-5.0
1965-03-14,6335076,4.01,64.0,1965,3,-2.0,-6.0,-7.0
1965-03-15,6335076,5.87,74.0,1965,3,-10.0,-12.0,-16.0
1965-03-16,6335076,8.92,88.0,1965,3,-14.0,-24.0,-26.0
1965-03-17,6335076,12.3,101.0,1965,3,-13.0,-27.0,-37.0
1965-03-18,6335076,10.1,93.0,1965,3,8.0,-5.0,-19.0
1965-03-19,6335076,10.4,94.0,1965,3,-1.0,7.0,-6.0
1965-03-20,6335076,9.9,92.0,1965,3,2.0,1.0,9.0
1965-03-21,6335076,10.9,96.0,1965,3,-4.0,-2.0,-3.0
1965-03-22,6335076,13.1,104.0,1965,3,-8.0,-12.0,-10.0
1965-03-23,6335076,12.0,100.0,1965,3,4.0,-4.0,-8.0
1965-03-24,6335076,12.0,100.0,1965,3,0.0,4.0,-4.0
1965-03-25,6335076,12.8,103.0,1965,3,-3.0,-3.0,1.0
1965-03-26,6335076,29.3,151.0,1965,3,-48.0,-51.0,-51.0
1965-03-27,6335076,37.1,170.0,1965,3,-19.0,-67.0,-70.0
1965-03-28,6335076,29.3,151.0,1965,3,19.0,0.0,-48.0
1965-03-29,6335076,21.4,130.0,1965,3,21.0,40.0,21.0
1965-03-30,6335076,17.4,118.0,1965,3,12.0,33.0,52.0
1965-03-31,6335076,13.7,106.0,1965,3,12.0,24.0,45.0
1965-04-01,6335076,11.2,97.0,1965,4,9.0,21.0,33.0
1965-04-02,6335076,9.4,90.0,1965,4,7.0,16.0,28.0
1965-04-03,6335076,7.98,84.0,1965,4,6.0,13.0,22.0
1965-04-04,6335076,6.68,78.0,1965,4,6.0,12.0,19.0
1965-04-05,6335076,6.07,75.0,1965,4,3.0,9.0,15.0
1965-04-06,6335076,5.29,71.0,1965,4,4.0,7.0,13.0
1965-04-07,6335076,4.91,69.0,1965,4,2.0,6.0,9.0
1965-04-08,6335076,5.1,70.0,1965,4,-1.0,1.0,5.0
1965-04-09,6335076,4.91,69.0,1965,4,1.0,0.0,2.0
1965-04-10,6335076,4.19,65.0,1965,4,4.0,5.0,4.0
1965-04-11,6335076,4.19,65.0,1965,4,0.0,4.0,5.0
1965-04-12,6335076,4.19,65.0,1965,4,0.0,0.0,4.0
1965-04-13,6335076,5.29,71.0,1965,4,-6.0,-6.0,-6.0
1965-04-14,6335076,3.84,63.0,1965,4,8.0,2.0,2.0
