date,station_no,discharge,water_level,year,month,delta1,delta2,delta3
1965-01-01,6335310,8.9,,1965,1,,,
1965-01-02,6335310,17.8,,1965,1,,,
1965-01-03,6335310,12.0,,1965,1,,,
1965-01-04,6335310,9.29,,1965,1,,,
1965-01-05,6335310,7.21,,1965,1,,,
1965-01-06,6335310,6.09,,1965,1,,,
1965-01-07,6335310,6.51,,1965,1,,,
1965-01-08,6335310,9.67,,1965,1,,,
1965-01-09,6335310,24.5,,1965,1,,,
1965-01-10,6335310,35.5,,1965,1,,,
1965-01-11,6335310,53.8,,1965,1,,,
1965-01-12,6335310,61.3,,1965,1,,,
1965-01-13,6335310,46.4,,1965,1,,,
1965-01-14,6335310,29.9,,1965,1,,,
1965-01-15,6335310,23.1,,1965,1,,,
1965-01-16,6335310,20.4,,1965,1,,,
1965-01-17,6335310,22.6,,1965,1,,,
1965-01-18,6335310,33.8,,1965,1,,,
1965-01-19,6335310,56.4,,1965,1,,,
1965-01-20,6335310,52.5,,1965,1,,,
1965-01-21,6335310,31.5,,1965,1,,,
1965-01-22,6335310,20.7,,1965,1,,,
1965-01-23,6335310,18.0,,1965,1,,,
1965-01-24,6335310,16.0,,1965,1,,,
1965-01-25,6335310,15.3,,1965,1,,,
1965-01-26,6335310,18.0,,1965,1,,,
1965-01-27,6335310,19.2,,1965,1,,,
1965-01-28,6335310,16.4,,1965,1,,,
1965-01-29,6335310,13.9,,1965,1,,,
1965-01-30,6335310,14.5,,1965,1,,,
1965-01-31,6335310,25.9,,1965,1,,,
1965-02-01,6335310,28.3,,1965,2,,,
1965-02-02,6335310,20.4,,1965,2,,,
1965-02-03,6335310,16.3,,1965,2,,,
1965-02-04,6335310,14.1,,1965,2,,,
1965-02-05,6335310,12.5,,1965,2,,,
1965-02-06,6335310,13.0,,1965,2,,,
1965-02-07,6335310,11.6,,1965,2,,,
1965-02-08,6335310,10.6,,1965,2,,,
1965-02-09,6335310,10.3,,1965,2,,,
1965-02-10,6335310,8.13,,1965,2,,,
1965-02-11,6335310,7.96,,1965,2,,,
1965-02-12,6335310,9.19,,1965,2,,,
1965-02-13,6335310,9.79,,1965,2,,,
1965-02-14,6335310,13.6,,1965,2,,,
1965-02-15,6335310,13.8,,1965,2,,,
1965-02-16,6335310,12.1,,1965,2,,,
1965-02-17,6335310,10.8,,1965,2,,,
1965-02-18,6335310,9.47,,1965,2,,,
1965-02-19,6335310,8.56,,1965,2,,,
1965-02-20,6335310,8.22,,1965,2,,,
1965-02-21,6335310,7.53,,1965,2,,,
1965-02-22,6335310,6.86,,1965,2,,,
1965-02-23,6335310,6.86,,1965,2,,,
1965-02-24,6335310,6.43,,1965,2,,,
1965-02-25,6335310,6.2,,1965,2,,,
1965-02-26,6335310,6.2,,1965,2,,,
1965-02-27,6335310,6.2,,1965,2,,,
1965-02-28,6335310,5.92,,1965,2,,,
1965-03-01,6335310,5.92,,1965,3,,,
1965-03-02,6335310,6.35,,1965,3,,,
1965-03-03,6335310,6.06,,1965,3,,,
1965-03-04,6335310,6.06,,1965,3,,,
1965-03-05,6335310,5.77,,1965,3,,,
1965-03-06,6335310,5.63,,1965,3,,,
1965-03-07,6335310,5.25,,1965,3,,,
1965-03-08,6335310,5.25,,1965,3,,,
1965-03-09,6335310,5.12,,1965,3,,,
1965-03-10,6335310,5.37,,1965,3,,,
1965-03-11,6335310,5.12,,1965,3,,,
1965-03-12,6335310,5.37,,1965,3,,,
1965-03-13,6335310,5.37,,1965,3,,,
1965-03-14,6335310,5.43,,1965,3,,,
1965-03-15,6335310,7.15,,1965,3,,,
1965-03-16,6335310,13.9,,1965,3,,,
1965-03-17,6335310,28.9,,1965,3,,,
1965-03-18,6335310,34.9,,1965,3,,,
1965-03-19,6335310,34.2,,1965,3,,,
1965-03-20,6335310,34.6,,1965,3,,,
1965-03-21,6335310,30.8,,1965,3,,,
1965-03-22,6335310,32.8,,1965,3,,,
1965-03-23,6335310,32.8,,1965,3,,,
1965-03-24,6335310,26.1,,1965,3,,,
1965-03-25,6335310,27.0,,1965,3,,,
1965-03-26,6335310,31.2,,1965,3,,,
1965-03-27,6335310,38.9,,1965,3,,,
1965-03-28,6335310,51.8,,1965,3,,,
1965-03-29,6335310,47.3,,1965,3,,,
1965-03-30,6335310,33.9,,1965,3,,,
1965-03-31,6335310,24.8,,1965,3,,,
1965-04-01,6335310,20.2,,1965,4,,,
1965-04-02,6335310,17.5,,1965,4,,,
1965-04-03,6335310,15.3,,1965,4,,,
1965-04-04,6335310,13.6,,1965,4,,,
1965-04-05,6335310,12.9,,1965,4,,,
1965-04-06,6335310,11.9,,1965,4,,,
1965-04-07,6335310,11.5,,1965,4,,,
1965-04-08,6335310,11.5,,1965,4,,,
1965-04-09,6335310,11.1,,1965,4,,,
1965-04-10,6335310,10.1,,1965,4,,,
1965-04-11,6335310,9.39,,1965,4,,,
1965-04-12,6335310,9.39,,1965,4,,,
1965-04-13,6335310,9.76,,1965,4,,,
1965-04-14,6335310,11.7,,1965,4,,,
1965-04-15,6335310,10.5,,1965,4,,,
1965-04-16,6335310,13.1,,1965,4,,,
1965-05-03,6335310,30.2,,1965,5,,,
1965-05-04,6335310,25.8,,1965,5,,,
1965-05-05,6335310,28.2,,1965,5,,,
1965-05-06,6335310,31.8,,1965,5,,,
1965-05-07,6335310,36.0,,1965,5,,,
1965-05-08,6335310,34.6,,1965,5,,,
1965-05-09,6335310,38.5,,1965,5,,,
1965-05-10,6335310,38.5,,1965,5,,,
1965-05-11,6335310,37.4,,1965,5,,,
1965-05-12,6335310,29.2,,1965,5,,,
1965-05-13,6335310,23.6,,1965,5,,,
1965-05-14,6335310,20.0,,1965,5,,,
1965-05-15,6335310,17.4,,1965,5,,,
1965-05-16,6335310,15.8,,1965,5,,,
1965-05-17,6335310,14.4,,1965,5,,,
1965-05-18,6335310,14.2,,1965,5,,,
1965-05-19,6335310,13.6,,1965,5,,,
1965-05-20,6335310,12.3,,1965,5,,,
1965-05-21,6335310,9.98,,1965,5,,,
1965-05-22,6335310,9.7,,1965,5,,,
1965-05-23,6335310,8.74,,1965,5,,,
1965-05-24,6335310,8.22,,1965,5,,,
1965-05-25,6335310,8.56,,1965,5,,,
1965-05-26,6335310,8.13,,1965,5,,,
1965-05-27,6335310,7.62,,1965,5,,,
1965-05-28,6335310,7.62,,1965,5,,,
1965-05-29,6335310,7.45,,1965,5,,,
1965-05-30,6335310,6.79,,1965,5,,,
1965-05-31,6335310,6.36,,1965,5,,,
1965-06-01,6335310,9.69,,1965,6,,,
1965-06-02,6335310,9.01,,1965,6,,,
1965-06-03,6335310,7.28,,1965,6,,,
1965-06-04,6335310,6.65,,1965,6,,,
1965-06-05,6335310,6.36,,1965,6,,,
1965-06-06,6335310,6.08,,1965,6,,,
1965-06-07,6335310,6.22,,1965,6,,,
1965-06-08,6335310,8.13,,1965,6,,,
1965-06-09,6335310,17.5,,1965,6,,,
1965-06-10,6335310,37.0,,1965,6,,,
1965-06-11,6335310,51.0,,1965,6,,,
1965-06-12,6335310,42.8,,1965,6,,,
1965-06-13,6335310,23.6,,1965,6,,,
1965-06-14,6335310,22.5,,1965,6,,,
1965-06-15,6335310,18.1,,1965,6,,,
1965-06-16,6335310,15.2,,1965,6,,,
1965-06-17,6335310,17.5,,1965,6,,,
1965-06-18,6335310,20.9,,1965,6,,,
1965-06-19,6335310,17.5,,1965,6,,,
1965-06-20,6335310,15.2,,1965,6,,,
1965-06-21,6335310,12.5,,1965,6,,,
1965-06-22,6335310,10.8,,1965,6,,,
